 Nascidos vivos - Brasil;;;;;;;
Nascim p/resid.mãe por Município e Local ocorrência;;;;;;;
Período:2000-2022;;;;;;;
Município;Hospital;Outro Estabelecimento de Saúde;Domicílio;Aldeia indígena;Outro;Ignorado;Total
220025 ALAGOINHA DO PIAUI;2218;1;21;-;1;-;2241
220027 ALEGRETE DO PIAUI;1555;7;19;-;1;-;1582
220030 ALTO LONGA;3358;49;66;-;3;1;3477
220040 ALTOS;14214;553;115;-;16;-;14898
220045 ALVORADA DO GURGUEIA;1852;45;90;-;7;-;1994
220050 AMARANTE;6477;46;84;-;6;-;6613
220060 ANGICAL DO PIAUI;1922;267;15;-;10;-;2214
220070 ANISIO DE ABREU;3188;49;5;-;1;-;3243
220080 ANTONIO ALMEIDA;883;179;9;-;1;-;1072
220090 AROAZES;1792;9;36;-;1;-;1838
220095 AROEIRAS DO ITAIM;448;2;4;-;1;-;455
220100 ARRAIAL;1324;223;104;-;1;-;1652
220105 ASSUNCAO DO PIAUI;1873;863;578;-;6;-;3320
220110 AVELINO LOPES;4279;345;26;-;2;-;4652
220115 BAIXA GRANDE DO RIBEIRO;4433;821;80;-;3;-;5337
220117 BARRA D'ALCANTARA;1164;9;47;-;2;-;1222
220120 BARRAS;18579;119;137;-;20;1;18856
220130 BARREIRAS DO PIAUI;669;97;242;-;15;-;1023
220140 BARRO DURO;2237;4;44;-;7;-;2292
220150 BATALHA;8653;18;250;-;14;-;8935
220155 BELA VISTA DO PIAUI;1226;5;18;-;-;-;1249
220157 BELEM DO PIAUI;818;5;23;-;2;-;848
220160 BENEDITINOS;2411;588;11;-;6;-;3016
220170 BERTOLINIA;1807;128;17;-;8;-;1960
220173 BETANIA DO PIAUI;2204;465;102;-;5;-;2776
220177 BOA HORA;1701;537;62;-;4;1;2305
220180 BOCAINA;1161;6;14;-;-;-;1181
220190 BOM JESUS;10717;17;46;-;3;-;10783
220191 BOM PRINCIPIO DO PIAUI;2427;1;85;-;5;-;2518
220192 BONFIM DO PIAUI;1746;1;100;-;2;-;1849
220194 BOQUEIRAO DO PIAUI;925;1351;21;-;-;-;2297
220196 BRASILEIRA;2306;6;10;-;2;-;2324
220198 BREJO DO PIAUI;1308;-;12;-;-;-;1320
220200 BURITI DOS LOPES;8159;11;195;-;19;-;8384
220202 BURITI DOS MONTES;1991;61;114;-;5;-;2171
220205 CABECEIRAS DO PIAUI;2310;753;45;-;10;-;3118
220207 CAJAZEIRAS DO PIAUI;848;32;63;-;5;2;950
220208 CAJUEIRO DA PRAIA;2284;5;64;-;10;-;2363
220209 CALDEIRAO GRANDE DO PIAUI;1614;6;82;-;2;-;1704
220210 CAMPINAS DO PIAUI;1564;38;120;-;7;-;1729
220211 CAMPO ALEGRE DO FIDALGO;1485;73;58;-;-;-;1616
220213 CAMPO GRANDE DO PIAUI;1987;6;37;-;-;-;2030
220217 CAMPO LARGO DO PIAUI;2430;19;147;-;8;-;2604
220220 CAMPO MAIOR;7336;8645;28;-;6;-;16015
220225 CANAVIEIRA;1108;82;56;-;6;-;1252
220230 CANTO DO BURITI;7138;15;9;-;3;1;7166
220240 CAPITAO DE CAMPOS;2778;1120;48;-;-;-;3946
220245 CAPITAO GERVASIO OLIVEIRA;1187;46;59;-;2;-;1294
220250 CARACOL;3559;320;110;-;47;-;4036
220253 CARAUBAS DO PIAUI;1911;1;114;-;12;-;2038
220255 CARIDADE DO PIAUI;1510;188;70;-;1;-;1769
220260 CASTELO DO PIAUI;7189;301;67;-;12;1;7570
220265 CAXINGO;1957;8;170;-;6;-;2141
220270 COCAL;9955;46;278;-;48;-;10327
220271 COCAL DE TELHA;846;838;13;-;-;-;1697
220272 COCAL DOS ALVES;1785;14;68;-;7;-;1874
220273 COIVARAS;944;216;23;-;2;-;1185
220275 COLONIA DO GURGUEIA;1718;417;12;-;40;-;2187
220277 COLONIA DO PIAUI;2191;58;13;-;1;-;2263
220280 CONCEICAO DO CANINDE;1356;318;18;-;10;-;1702
220285 CORONEL JOSE DIAS;1325;4;23;-;-;-;1352
220290 CORRENTE;9960;33;527;-;15;1;10536
220300 CRISTALANDIA DO PIAUI;2635;136;177;-;10;2;2960
220310 CRISTINO CASTRO;4201;8;23;-;1;-;4233
220320 CURIMATA;4897;7;6;-;3;-;4913
220323 CURRAIS;2053;-;39;-;1;-;2093
220325 CURRALINHOS;1245;8;46;-;8;-;1307
220327 CURRAL NOVO DO PIAUI;1503;164;128;-;5;-;1800
220330 DEMERVAL LOBAO;5055;12;14;-;10;-;5091
220335 DIRCEU ARCOVERDE;2079;1;60;-;4;-;2144
220340 DOM EXPEDITO LOPES;1953;6;6;-;-;-;1965
220342 DOMINGOS MOURAO;1326;166;60;-;8;-;1560
220345 DOM INOCENCIO;1791;294;254;-;25;2;2366
220350 ELESBAO VELOSO;4433;9;32;-;4;1;4479
220360 ELISEU MARTINS;1383;13;8;-;2;-;1406
220370 ESPERANTINA;15555;12;144;-;8;-;15719
220375 FARTURA DO PIAUI;1482;104;140;-;7;-;1733
220380 FLORES DO PIAUI;1470;66;33;-;7;-;1576
220385 FLORESTA DO PIAUI;608;10;20;-;-;-;638
220390 FLORIANO;20912;1276;95;-;5;1;22289
220400 FRANCINOPOLIS;1633;-;15;-;2;-;1650
220410 FRANCISCO AYRES;1355;80;77;-;6;-;1518
220415 FRANCISCO MACEDO;794;7;22;-;-;-;823
220420 FRANCISCO SANTOS;2469;2;38;-;2;-;2511
220430 FRONTEIRAS;3546;63;22;-;1;-;3632
220435 GEMINIANO;1885;24;32;-;1;-;1942
220440 GILBUES;3402;704;350;-;16;1;4473
220450 GUADALUPE;4000;13;3;-;2;-;4018
220455 GUARIBAS;1211;31;613;-;13;-;1868
220460 HUGO NAPOLEAO;1142;1;16;-;1;-;1160
220465 ILHA GRANDE;3680;1;13;-;1;-;3695
220470 INHUMA;4893;7;17;-;7;-;4924
220480 IPIRANGA DO PIAUI;2618;515;17;-;1;-;3151
220490 ISAIAS COELHO;2862;11;151;-;11;-;3035
220500 ITAINOPOLIS;2996;77;26;-;-;-;3099
220510 ITAUEIRA;3534;16;9;-;1;-;3560
220515 JACOBINA DO PIAUI;1813;3;43;-;-;-;1859
220520 JAICOS;7099;26;53;-;1;-;7179
220525 JARDIM DO MULATO;1122;21;15;-;4;-;1162
220527 JATOBA DO PIAUI;884;670;13;-;2;-;1569
220530 JERUMENHA;1475;57;13;-;2;-;1547
220535 JOAO COSTA;923;4;6;-;-;-;933
220540 JOAQUIM PIRES;4673;235;444;-;21;-;5373
220545 JOCA MARQUES;1812;137;70;-;2;-;2021
220550 JOSE DE FREITAS;13635;94;23;-;9;-;13761
220551 JUAZEIRO DO PIAUI;1367;288;58;-;-;-;1713
220552 JULIO BORGES;1594;228;89;-;6;-;1917
220553 JUREMA;1751;67;36;-;1;-;1855
220554 LAGOINHA DO PIAUI;871;1;4;-;1;-;877
220555 LAGOA ALEGRE;2674;16;33;-;5;-;2728
220556 LAGOA DO BARRO DO PIAUI;1286;320;50;-;9;1;1666
220557 LAGOA DE SAO FRANCISCO;1950;2;26;-;-;-;1978
220558 LAGOA DO PIAUI;1193;5;9;-;2;1;1210
220559 LAGOA DO SITIO;1482;5;53;-;-;-;1540
220560 LANDRI SALES;1855;16;8;-;3;-;1882
220570 LUIS CORREIA;11067;5;110;-;26;1;11209
220580 LUZILANDIA;8888;910;83;-;6;-;9887
220585 MADEIRO;2631;577;41;-;2;-;3251
220590 MANOEL EMIDIO;1833;9;14;-;-;1;1857
220595 MARCOLANDIA;3094;48;7;-;2;-;3151
220600 MARCOS PARENTE;1535;94;19;-;-;-;1648
220605 MASSAPE DO PIAUI;1741;13;76;-;2;-;1832
220610 MATIAS OLIMPIO;4247;89;15;-;3;-;4354
220620 MIGUEL ALVES;12082;17;897;-;24;1;13021
220630 MIGUEL LEAO;381;3;11;-;-;-;395
220635 MILTON BRANDAO;1858;29;41;-;1;-;1929
220640 MONSENHOR GIL;3019;11;8;-;4;-;3042
220650 MONSENHOR HIPOLITO;2552;-;37;-;2;1;2592
220660 MONTE ALEGRE DO PIAUI;3729;66;187;-;33;3;4018
220665 MORRO CABECA NO TEMPO;1264;83;171;-;9;1;1528
220667 MORRO DO CHAPEU DO PIAUI;2315;7;86;-;2;-;2410
220669 MURICI DOS PORTELAS;2436;37;327;-;17;1;2818
220670 NAZARE DO PIAUI;2335;63;5;-;2;-;2405
220672 NAZARIA;1963;4;25;-;19;-;2011
220675 NOSSA SENHORA DE NAZARE;605;736;14;-;2;-;1357
220680 NOSSA SENHORA DOS REMEDIOS;3361;262;187;-;12;-;3822
220690 NOVO ORIENTE DO PIAUI;1852;8;22;-;1;-;1883
220695 NOVO SANTO ANTONIO;664;23;48;-;6;1;742
220700 OEIRAS;12891;28;48;-;6;-;12973
220710 OLHO D'AGUA DO PIAUI;959;1;22;-;-;-;982
220720 PADRE MARCOS;2162;63;66;-;2;-;2293
220730 PAES LANDIM;1492;7;40;-;3;1;1543
220735 PAJEU DO PIAUI;757;10;28;-;2;-;797
220740 PALMEIRA DO PIAUI;1870;13;44;-;1;-;1928
220750 PALMEIRAIS;4628;13;22;-;16;3;4682
220755 PAQUETA;1094;21;56;-;4;-;1175
220760 PARNAGUA;4069;22;18;-;141;62;4312
220770 PARNAIBA;55345;32;176;-;22;-;55575
220775 PASSAGEM FRANCA DO PIAUI;1340;1;128;-;6;-;1475
220777 PATOS DO PIAUI;1537;87;69;-;3;-;1696
220779 PAU D'ARCO DO PIAUI;854;7;36;-;3;-;900
220780 PAULISTANA;8363;15;244;-;15;1;8638
220785 PAVUSSU;1042;69;25;-;5;-;1141
220790 PEDRO II;14695;64;45;-;6;-;14810
220793 PEDRO LAURENTINO;842;5;10;-;-;-;857
220795 NOVA SANTA RITA;1572;4;22;-;-;-;1598
220800 PICOS;26588;80;158;-;4;-;26830
220810 PIMENTEIRAS;3522;14;66;-;5;-;3607
220820 PIO IX;6246;32;71;-;34;-;6383
220830 PIRACURUCA;10117;23;18;-;2;-;10160
220840 PIRIPIRI;22240;96;114;-;11;1;22462
220850 PORTO;5483;24;155;-;9;-;5671
220855 PORTO ALEGRE DO PIAUI;812;88;29;-;6;-;935
220860 PRATA DO PIAUI;952;3;17;-;8;-;980
220865 QUEIMADA NOVA;1916;641;113;-;4;-;2674
220870 REDENCAO DO GURGUEIA;3787;8;62;-;4;-;3861
220880 REGENERACAO;6718;11;86;-;7;-;6822
220885 RIACHO FRIO;1270;279;258;-;12;1;1820
220887 RIBEIRA DO PIAUI;1169;58;92;-;7;-;1326
220890 RIBEIRO GONCALVES;2328;292;39;-;5;-;2664
220900 RIO GRANDE DO PIAUI;2074;19;7;-;4;-;2104
220910 SANTA CRUZ DO PIAUI;1728;341;33;-;-;-;2102
220915 SANTA CRUZ DOS MILAGRES;890;5;43;-;-;-;938
220920 SANTA FILOMENA;887;1551;55;-;3;-;2496
220930 SANTA LUZ;2104;51;24;-;-;-;2179
220935 SANTANA DO PIAUI;1317;2;18;-;-;-;1337
220937 SANTA ROSA DO PIAUI;1406;287;24;-;-;-;1717
220940 SANTO ANTONIO DE LISBOA;1859;-;39;-;1;-;1899
220945 SANTO ANTONIO DOS MILAGRES;670;45;10;-;1;-;726
220950 SANTO INACIO DO PIAUI;1064;21;27;-;-;-;1112
220955 SAO BRAZ DO PIAUI;1353;3;41;-;-;-;1397
220960 SAO FELIX DO PIAUI;590;2;15;-;4;-;611
220965 SAO FRANCISCO DE ASSIS DO PIAUI;1642;79;101;-;1;-;1823
220970 SAO FRANCISCO DO PIAUI;1939;32;27;-;3;-;2001
220975 SAO GONCALO DO GURGUEIA;739;26;122;-;14;1;902
220980 SAO GONCALO DO PIAUI;1538;33;3;-;2;-;1576
220985 SAO JOAO DA CANABRAVA;1357;40;55;-;2;-;1454
220987 SAO JOAO DA FRONTEIRA;1827;13;71;-;3;-;1914
220990 SAO JOAO DA SERRA;1753;55;25;-;21;-;1854
220995 SAO JOAO DA VARJOTA;1576;2;18;-;1;-;1597
220997 SAO JOAO DO ARRAIAL;3014;149;80;-;4;-;3247
221000 SAO JOAO DO PIAUI;8063;23;11;-;-;-;8097
221005 SAO JOSE DO DIVINO;1787;5;9;-;2;-;1803
221010 SAO JOSE DO PEIXE;1058;184;56;-;1;-;1299
221020 SAO JOSE DO PIAUI;2273;70;19;-;2;-;2364
221030 SAO JULIAO;1923;8;13;-;-;-;1944
221035 SAO LOURENCO DO PIAUI;1198;-;32;-;-;-;1230
221037 SAO LUIS DO PIAUI;716;7;67;-;-;-;790
221038 SAO MIGUEL DA BAIXA GRANDE;481;1;51;-;2;-;535
221039 SAO MIGUEL DO FIDALGO;816;67;143;-;1;-;1027
221040 SAO MIGUEL DO TAPUIO;3823;2414;100;-;5;-;6342
221050 SAO PEDRO DO PIAUI;4814;9;32;-;5;-;4860
221060 SAO RAIMUNDO NONATO;13138;19;32;-;2;-;13191
221062 SEBASTIAO BARROS;1390;20;163;-;8;-;1581
221063 SEBASTIAO LEAL;1263;41;19;-;2;1;1326
221065 SIGEFREDO PACHECO;1266;1229;93;-;8;-;2596
221070 SIMOES;4236;1353;106;-;4;-;5699
221080 SIMPLICIO MENDES;4381;2;9;-;3;-;4395
221090 SOCORRO DO PIAUI;1330;18;24;-;2;-;1374
221093 SUSSUAPARA;1977;1;12;-;-;-;1990
221095 TAMBORIL DO PIAUI;1047;11;16;-;2;-;1076
221097 TANQUE DO PIAUI;740;3;37;-;-;-;780
221100 TERESINA;318413;1982;324;-;64;3;320786
221110 UNIAO;17078;25;138;-;11;-;17252
221120 URUCUI;9374;24;50;-;3;-;9451
221130 VALENCA DO PIAUI;7152;10;19;-;2;-;7183
221135 VARZEA BRANCA;1616;63;74;-;3;-;1756
221140 VARZEA GRANDE;1404;4;4;-;-;1;1413
221150 VERA MENDES;914;16;80;-;-;-;1010
221160 VILA NOVA DO PIAUI;813;4;10;-;-;-;827
221170 WALL FERRAZ;1128;108;81;-;-;-;1317
 MUNICIPIO IGNORADO - CE;35;1;1;-;-;-;37
230010 ABAIARA;3150;4;31;-;4;-;3189
230015 ACARAPE;4948;6;7;-;6;-;4967
230020 ACARAU;22844;35;249;-;17;-;23145
230030 ACOPIARA;15881;16;255;-;8;-;16160
230040 AIUABA;4651;78;142;-;22;-;4893
230050 ALCANTARAS;3165;95;127;-;10;-;3397
230060 ALTANEIRA;2413;2;11;-;2;-;2428
230070 ALTO SANTO;4695;3;17;-;4;-;4719
230075 AMONTADA;15806;44;647;-;45;1;16543
230080 ANTONINA DO NORTE;2505;6;15;-;4;-;2530
230090 APUIARES;3688;4;38;-;15;1;3746
230100 AQUIRAZ;23556;34;79;-;12;1;23682
230110 ARACATI;23357;7;143;-;36;-;23543
230120 ARACOIABA;8729;9;53;-;12;-;8803
230125 ARARENDA;3315;45;25;-;11;-;3396
230130 ARARIPE;9407;7;108;-;4;-;9526
230140 ARATUBA;4259;6;57;-;6;-;4328
230150 ARNEIROZ;2262;85;30;-;7;-;2384
230160 ASSARE;7288;11;123;-;6;1;7429
230170 AURORA;8027;8;20;-;5;-;8060
230180 BAIXIO;1746;8;3;-;2;-;1759
230185 BANABUIU;6440;4;140;-;23;-;6607
230190 BARBALHA;25277;18;71;-;1;-;25367
230195 BARREIRA;7132;22;10;-;10;1;7175
230200 BARRO;6347;2;24;-;13;14;6400
230205 BARROQUINHA;4383;676;348;-;13;-;5420
230210 BATURITE;12559;12;16;-;8;1;12596
230220 BEBERIBE;14777;57;85;-;26;-;14945
230230 BELA CRUZ;9831;86;59;-;14;-;9990
230240 BOA VIAGEM;17196;27;365;-;40;-;17628
230250 BREJO SANTO;16668;8;28;-;1;-;16705
230260 CAMOCIM;23327;197;879;-;24;-;24427
230270 CAMPOS SALES;10103;8;80;-;5;-;10196
230280 CANINDE;26826;16;540;-;40;-;27422
230290 CAPISTRANO;5924;2;29;-;6;1;5962
230300 CARIDADE;5957;1;65;-;13;-;6036
230310 CARIRE;5430;58;33;-;26;-;5547
230320 CARIRIACU;9237;8;103;-;10;-;9358
230330 CARIUS;5276;2;62;-;7;-;5347
230340 CARNAUBAL;5993;41;85;-;10;-;6129
230350 CASCAVEL;22570;25;66;-;24;-;22685
230360 CATARINA;3459;6;34;-;5;1;3505
230365 CATUNDA;2967;12;28;-;3;-;3010
230370 CAUCAIA;112644;60;307;-;292;8;113311
230380 CEDRO;8020;12;21;-;3;-;8056
230390 CHAVAL;4770;1;140;-;13;-;4924
230393 CHORO;4664;1;81;-;15;-;4761
230395 CHOROZINHO;6393;2;8;-;35;-;6438
230400 COREAU;7116;477;92;-;5;-;7690
230410 CRATEUS;25708;67;132;-;13;-;25920
230420 CRATO;50306;29;81;-;5;-;50421
230423 CROATA;6071;46;57;-;23;-;6197
230425 CRUZ;9306;45;108;-;18;-;9477
230426 DEPUTADO IRAPUAN PINHEIRO;2459;4;26;-;6;-;2495
230427 ERERE;1292;-;6;-;3;-;1301
230428 EUSEBIO;21878;2;17;-;5;-;21902
230430 FARIAS BRITO;6760;6;61;-;8;1;6836
230435 FORQUILHA;7260;275;91;-;9;-;7635
230440 FORTALEZA;858017;357;2106;-;496;104;861080
230445 FORTIM;4495;2;21;-;23;-;4541
230450 FRECHEIRINHA;5252;128;57;-;18;2;5457
230460 GENERAL SAMPAIO;2323;14;49;-;8;-;2394
230465 GRACA;4595;23;173;-;15;-;4806
230470 GRANJA;17402;50;1868;-;34;-;19354
230480 GRANJEIRO;1473;7;10;-;2;-;1492
230490 GROAIRAS;3170;14;13;-;4;2;3203
230495 GUAIUBA;7832;59;20;-;14;-;7925
230500 GUARACIABA DO NORTE;15716;29;135;-;19;-;15899
230510 GUARAMIRANGA;2016;2;20;-;3;-;2041
230520 HIDROLANDIA;6011;11;40;-;7;-;6069
230523 HORIZONTE;22655;19;43;-;28;1;22746
230526 IBARETAMA;4881;5;34;-;9;-;4929
230530 IBIAPINA;8848;28;124;-;22;1;9023
230533 IBICUITINGA;3421;217;20;-;15;-;3673
230535 ICAPUI;5785;4;14;-;19;1;5823
230540 ICO;22203;37;244;-;20;-;22504
230550 IGUATU;32030;8;162;-;17;2;32219
230560 INDEPENDENCIA;7679;25;145;-;27;-;7876
230565 IPAPORANGA;3783;8;47;-;4;-;3842
230570 IPAUMIRIM;3735;3;14;-;1;-;3753
230580 IPU;14667;15;86;-;43;-;14811
230590 IPUEIRAS;12917;104;337;-;29;-;13387
230600 IRACEMA;4273;2;16;-;8;-;4299
230610 IRAUCUBA;8166;158;113;-;16;-;8453
230620 ITAICABA;2006;-;6;-;8;-;2020
230625 ITAITINGA;11760;158;44;-;9;-;11971
230630 ITAPAGE;18300;5;132;-;22;-;18459
230640 ITAPIPOCA;47459;828;778;-;70;-;49135
230650 ITAPIUNA;5990;4;56;-;6;1;6057
230655 ITAREMA;16106;20;369;-;34;-;16529
230660 ITATIRA;6882;337;380;-;82;1;7682
230670 JAGUARETAMA;5499;4;31;-;15;-;5549
230680 JAGUARIBARA;3397;5;5;-;6;-;3413
