 Nascidos vivos - Brasil;;;;;;;;;;
Nascim p/resid.mãe por Município e Instrução da mãe;;;;;;;;;;
Período:2000-2022;;;;;;;;;;
Município;Nenhuma;1 a 3 anos;4 a 7 anos;8 a 11 anos;12 anos e mais;9 a 11 anos;1º grau incompleto;1º grau completo;Ignorado;Total
210480 GRAJAU;2550;5318;12151;10978;2783;-;1;-;1545;35326
210490 GUIMARAES;29;149;1154;1965;448;-;-;-;297;4042
210500 HUMBERTO DE CAMPOS;527;688;3169;4373;392;-;-;-;1838;10987
210510 ICATU;310;1110;3564;4081;587;-;-;-;249;9901
210515 IGARAPE DO MEIO;218;518;1791;2779;338;-;-;-;182;5826
210520 IGARAPE GRANDE;145;372;1376;1849;323;-;1;-;95;4161
210530 IMPERATRIZ;935;6678;27877;56218;20649;1;7;-;2492;114857
210535 ITAIPAVA DO GRAJAU;380;1102;1977;1737;292;-;-;-;74;5562
210540 ITAPECURU MIRIM;980;2668;7849;15800;1071;-;1;-;292;28661
210542 ITINGA DO MARANHAO;162;973;3001;3643;699;-;-;-;230;8708
210545 JATOBA;96;336;1087;1457;150;-;-;-;92;3218
210547 JENIPAPO DOS VIEIRAS;1456;1138;2198;1868;213;-;-;-;162;7035
210550 JOAO LISBOA;233;953;3121;4364;884;-;-;-;730;10285
210560 JOSELANDIA;349;835;1997;2485;234;-;-;-;140;6040
210565 JUNCO DO MARANHAO;88;363;1019;836;135;-;-;-;129;2570
210570 LAGO DA PEDRA;1308;2499;6529;9140;1338;-;-;-;392;21206
210580 LAGO DO JUNCO;275;570;1083;1502;260;-;-;-;101;3791
210590 LAGO VERDE;419;1307;2295;2723;233;-;-;-;197;7174
210592 LAGOA DO MATO;209;692;754;1119;161;-;-;-;63;2998
210594 LAGO DOS RODRIGUES;203;394;1022;1295;256;-;-;-;100;3270
210596 LAGOA GRANDE DO MARANHAO;512;1087;1776;1637;210;-;-;-;79;5301
210598 LAJEADO NOVO;51;225;878;1025;126;-;-;-;20;2325
210600 LIMA CAMPOS;341;710;1589;1799;371;-;-;-;78;4888
210610 LORETO;60;481;1170;1708;307;-;-;-;135;3861
210620 LUIS DOMINGUES;24;193;738;979;259;-;-;-;288;2481
210630 MAGALHAES DE ALMEIDA;228;834;2028;2194;338;-;-;-;52;5674
210632 MARACACUME;318;1140;3354;2501;392;-;-;-;513;8218
210635 MARAJA DO SENA;293;604;1203;564;71;-;-;-;65;2800
210637 MARANHAOZINHO;331;572;1546;1232;204;-;-;-;219;4104
210640 MATA ROMA;611;1282;2325;2531;348;-;1;-;468;7566
210650 MATINHA;127;537;2953;4683;492;-;-;-;278;9070
210660 MATOES;931;2029;4079;3612;448;-;-;-;536;11635
210663 MATOES DO NORTE;206;425;852;1092;100;-;-;-;42;2717
210667 MILAGRES DO MARANHAO;143;393;673;714;50;-;-;-;60;2033
210670 MIRADOR;421;1154;2586;3298;407;1;-;-;80;7947
210675 MIRANDA DO NORTE;265;658;2522;4020;331;-;-;-;98;7894
210680 MIRINZAL;99;347;1551;3201;180;-;-;-;102;5480
210690 MONCAO;384;1182;4032;5835;504;-;-;-;160;12097
210700 MONTES ALTOS;100;452;1273;1380;179;-;-;-;177;3561
210710 MORROS;187;1162;2244;3274;319;-;-;-;495;7681
210720 NINA RODRIGUES;494;694;1540;2256;180;-;-;-;95;5259
210725 NOVA COLINAS;39;267;753;794;114;-;-;-;17;1984
210730 NOVA IORQUE;43;179;420;495;74;-;-;-;52;1263
210735 NOVA OLINDA DO MARANHAO;290;748;2178;2642;454;-;-;-;116;6428
210740 OLHO D'AGUA DAS CUNHAS;358;891;2146;2033;473;-;-;-;656;6557
210745 OLINDA NOVA DO MARANHAO;98;298;1235;2476;276;-;-;-;264;4647
210750 PACO DO LUMIAR;182;1110;6280;22617;4695;-;5;-;785;35674
210760 PALMEIRANDIA;161;443;1948;2750;216;-;-;-;489;6007
210770 PARAIBANO;399;918;3132;2860;527;-;1;-;135;7972
210780 PARNARAMA;1172;2800;4128;3992;518;-;2;1;686;13299
210790 PASSAGEM FRANCA;605;1818;2228;2796;235;-;1;-;157;7840
210800 PASTOS BONS;185;513;1937;3983;477;-;-;-;202;7297
210805 PAULINO NEVES;519;1043;1900;2762;296;-;-;-;174;6694
210810 PAULO RAMOS;783;1657;3438;2873;370;-;1;-;152;9274
210820 PEDREIRAS;343;1281;4672;7415;2105;-;-;-;244;16060
210825 PEDRO DO ROSARIO;532;1172;2844;2799;272;-;1;-;281;7901
210830 PENALVA;386;2134;5511;6136;929;-;-;-;390;15486
210840 PERI MIRIM;93;277;1132;1626;173;-;-;-;98;3399
210845 PERITORO;723;1383;2798;3449;369;-;-;-;552;9274
210850 PINDARE-MIRIM;405;1222;4384;6212;1242;-;-;3;217;13685
210860 PINHEIRO;801;2615;9861;18658;2311;-;-;-;529;34775
210870 PIO XII;325;3176;2667;4096;502;-;-;-;123;10889
210880 PIRAPEMAS;542;889;2323;2724;207;-;1;-;478;7164
210890 POCAO DE PEDRAS;338;933;2688;2725;374;-;-;-;180;7238
210900 PORTO FRANCO;145;739;3099;4827;1101;-;-;-;84;9995
210905 PORTO RICO DO MARANHAO;28;137;628;1133;98;-;-;-;50;2074
210910 PRESIDENTE DUTRA;598;2077;5365;8893;1325;-;5;-;356;18619
210920 PRESIDENTE JUSCELINO;216;630;1372;2067;332;-;-;-;285;4902
210923 PRESIDENTE MEDICI;92;263;836;806;188;-;-;-;97;2282
210927 PRESIDENTE SARNEY;232;805;2595;3297;239;1;-;14;82;7265
210930 PRESIDENTE VARGAS;294;560;1350;2106;217;-;1;-;146;4674
210940 PRIMEIRA CRUZ;179;669;1473;1907;121;-;-;-;116;4465
210945 RAPOSA;223;677;3284;6278;797;-;-;-;250;11509
210950 RIACHAO;151;1222;3013;3618;543;-;-;-;95;8642
210955 RIBAMAR FIQUENE;62;210;939;1275;163;-;-;-;33;2682
210960 ROSARIO;324;1042;4743;7689;859;-;-;-;789;15446
210970 SAMBAIBA;27;150;493;679;97;-;-;-;20;1466
210975 SANTA FILOMENA DO MARANHAO;89;233;694;863;79;-;-;-;48;2006
210980 SANTA HELENA;455;1329;3586;5883;658;-;-;-;256;12167
210990 SANTA INES;964;3553;10992;19616;3747;-;3;-;445;39320
211000 SANTA LUZIA;2140;4755;9802;11077;1587;-;-;-;861;30222
211003 SANTA LUZIA DO PARUA;274;1080;3113;3823;649;-;-;-;244;9183
211010 SANTA QUITERIA DO MARANHAO;700;1827;4299;4324;384;-;-;-;293;11827
211020 SANTA RITA;343;1235;4137;6699;531;-;2;-;253;13200
211023 SANTANA DO MARANHAO;217;599;1043;991;167;-;-;-;80;3097
211027 SANTO AMARO DO MARANHAO;310;769;1537;1544;171;-;-;-;108;4439
211030 SANTO ANTONIO DOS LOPES;292;1154;1608;1965;367;-;-;-;304;5690
211040 SAO BENEDITO DO RIO PRETO;774;1372;2687;3084;382;1;-;-;814;9114
211050 SAO BENTO;210;882;2801;6871;441;-;-;-;1771;12976
211060 SAO BERNARDO;468;1928;4067;4357;749;-;-;-;287;11856
211065 SAO DOMINGOS DO AZEITAO;119;452;768;818;169;-;-;-;326;2652
211070 SAO DOMINGOS DO MARANHAO;379;1012;5304;7535;951;-;1;-;483;15665
211080 SAO FELIX DE BALSAS;51;248;446;465;66;-;-;-;29;1305
211085 SAO FRANCISCO DO BREJAO;87;319;1147;1208;158;-;-;-;45;2964
211090 SAO FRANCISCO DO MARANHAO;267;630;1098;1070;192;-;-;-;396;3653
211100 SAO JOAO BATISTA;96;420;2326;3320;484;-;-;-;262;6908
211102 SAO JOAO DO CARU;339;970;1411;1857;199;-;2;-;84;4862
211105 SAO JOAO DO PARAISO;84;399;1444;1618;221;-;1;-;29;3796
211107 SAO JOAO DO SOTER;518;985;2542;1989;258;-;-;-;252;6544
211110 SAO JOAO DOS PATOS;289;1606;2635;3965;816;-;-;1;363;9675
211120 SAO JOSE DE RIBAMAR;399;2143;11497;39101;7077;-;-;-;993;61210
211125 SAO JOSE DOS BASILIOS;112;364;747;1002;105;-;-;-;149;2479
211130 SAO LUIS;1713;11727;72793;222476;74402;-;41;-;13414;396566
211140 SAO LUIS GONZAGA DO MARANHAO;355;994;2887;3027;364;-;-;-;361;7988
211150 SAO MATEUS DO MARANHAO;958;2124;6333;6333;563;-;1;-;316;16628
211153 SAO PEDRO DA AGUA BRANCA;220;500;1304;1666;248;-;-;-;52;3990
211157 SAO PEDRO DOS CRENTES;63;309;631;654;96;-;-;-;13;1766
211160 SAO RAIMUNDO DAS MANGABEIRAS;172;835;2333;3256;601;-;-;-;173;7370
211163 SAO RAIMUNDO DO DOCA BEZERRA;133;323;854;717;90;-;-;-;29;2146
211167 SAO ROBERTO;129;291;872;614;71;-;-;-;26;2003
211170 SAO VICENTE FERRER;156;572;2046;3212;831;1;-;-;585;7403
211172 SATUBINHA;127;642;684;961;147;-;-;-;37;2598
211174 SENADOR ALEXANDRE COSTA;263;704;1569;1559;150;-;-;-;37;4282
211176 SENADOR LA ROCQUE;259;937;2663;3186;676;-;1;-;72;7794
211178 SERRANO DO MARANHAO;157;593;1298;1466;47;-;-;-;141;3702
211180 SITIO NOVO;192;1236;2143;2353;495;-;-;-;96;6515
211190 SUCUPIRA DO NORTE;129;298;1437;1790;240;-;-;-;55;3949
211195 SUCUPIRA DO RIACHAO;121;366;531;584;86;-;-;-;92;1780
211200 TASSO FRAGOSO;63;314;959;1397;192;-;-;-;67;2992
211210 TIMBIRAS;1158;2543;3600;4141;578;-;-;-;521;12541
211220 TIMON;1564;7050;20358;29563;6862;1;10;-;643;66051
211223 TRIZIDELA DO VALE;195;757;2617;3619;807;-;-;-;96;8091
211227 TUFILANDIA;133;283;852;1032;96;-;-;-;37;2433
211230 TUNTUM;381;1669;4884;5994;1155;-;-;-;90;14173
211240 TURIACU;280;1839;4643;6087;430;-;-;-;114;13393
211245 TURILANDIA;379;1155;2886;2563;192;-;-;-;161;7336
211250 TUTOIA;787;3299;7043;9843;912;-;-;-;289;22173
211260 URBANO SANTOS;966;2391;5209;5569;287;-;-;-;380;14802
211270 VARGEM GRANDE;2004;3281;6569;8507;700;-;-;-;288;21349
211280 VIANA;794;1940;6570;11536;1092;-;1;-;285;22218
211285 VILA NOVA DOS MARTIRIOS;140;408;1183;1490;234;-;-;-;81;3536
211290 VITORIA DO MEARIM;773;2509;5050;4527;749;-;-;-;192;13800
211300 VITORINO FREIRE;671;1596;4241;5297;785;-;-;-;486;13076
211400 ZE DOCA;1074;2719;6944;8556;1272;-;-;-;140;20705
 MUNICIPIO IGNORADO - PI;1;2;6;7;8;-;-;-;4;28
220005 ACAUA;56;478;769;810;82;-;-;-;72;2267
220010 AGRICOLANDIA;29;162;479;806;138;-;1;-;90;1705
220020 AGUA BRANCA;120;638;1885;3210;635;-;-;-;64;6552
220025 ALAGOINHA DO PIAUI;120;294;707;893;211;-;1;-;15;2241
220027 ALEGRETE DO PIAUI;94;244;445;587;204;-;-;-;8;1582
220030 ALTO LONGA;96;666;1161;1290;172;-;-;-;92;3477
220040 ALTOS;406;2447;4574;5991;1265;1;-;-;214;14898
220045 ALVORADA DO GURGUEIA;46;182;690;905;154;-;-;-;17;1994
220050 AMARANTE;307;851;2083;2695;614;-;-;-;63;6613
220060 ANGICAL DO PIAUI;57;295;689;946;179;-;1;-;47;2214
220070 ANISIO DE ABREU;153;322;1105;1282;322;1;7;-;51;3243
220080 ANTONIO ALMEIDA;29;125;338;429;142;-;-;-;9;1072
220090 AROAZES;47;187;531;669;359;-;-;1;44;1838
220095 AROEIRAS DO ITAIM;8;50;127;245;22;-;-;-;3;455
220100 ARRAIAL;231;216;506;554;133;1;-;-;11;1652
220105 ASSUNCAO DO PIAUI;374;616;1207;891;125;-;-;-;107;3320
220110 AVELINO LOPES;130;1000;1725;1504;209;-;-;-;84;4652
220115 BAIXA GRANDE DO RIBEIRO;151;787;1589;2217;519;-;-;-;74;5337
220117 BARRA D'ALCANTARA;46;149;402;457;146;-;-;-;22;1222
220120 BARRAS;818;3871;5905;6893;984;-;-;-;385;18856
220130 BARREIRAS DO PIAUI;16;159;406;352;65;-;-;-;25;1023
220140 BARRO DURO;56;292;700;983;162;-;-;-;99;2292
220150 BATALHA;419;1938;3298;2758;405;-;-;-;117;8935
220155 BELA VISTA DO PIAUI;15;184;321;604;110;-;-;-;15;1249
220157 BELEM DO PIAUI;41;155;220;333;77;-;-;-;22;848
220160 BENEDITINOS;44;568;946;1041;203;-;-;-;214;3016
220170 BERTOLINIA;46;217;680;752;238;-;-;-;27;1960
220173 BETANIA DO PIAUI;270;690;861;804;98;-;-;-;53;2776
220177 BOA HORA;68;467;780;792;153;-;-;-;45;2305
220180 BOCAINA;56;111;372;475;146;-;-;-;21;1181
220190 BOM JESUS;235;936;3170;4795;1578;-;1;-;68;10783
220191 BOM PRINCIPIO DO PIAUI;182;399;1039;635;169;-;-;-;94;2518
220192 BONFIM DO PIAUI;47;208;886;590;90;-;-;-;28;1849
220194 BOQUEIRAO DO PIAUI;33;352;902;872;124;-;-;-;14;2297
220196 BRASILEIRA;86;400;746;878;176;-;-;-;38;2324
220198 BREJO DO PIAUI;45;282;488;416;74;-;-;-;15;1320
220200 BURITI DOS LOPES;733;1270;2806;2713;700;-;-;-;162;8384
220202 BURITI DOS MONTES;160;403;709;727;130;-;-;-;42;2171
220205 CABECEIRAS DO PIAUI;81;528;999;1267;187;-;-;-;56;3118
220207 CAJAZEIRAS DO PIAUI;25;106;351;365;90;-;-;-;13;950
220208 CAJUEIRO DA PRAIA;88;267;929;815;208;-;-;-;56;2363
220209 CALDEIRAO GRANDE DO PIAUI;100;310;447;680;158;-;-;-;9;1704
220210 CAMPINAS DO PIAUI;47;292;584;616;155;-;-;-;35;1729
220211 CAMPO ALEGRE DO FIDALGO;111;269;581;550;67;-;-;-;38;1616
220213 CAMPO GRANDE DO PIAUI;138;186;661;871;163;-;-;-;11;2030
220217 CAMPO LARGO DO PIAUI;204;520;933;803;103;-;-;-;41;2604
220220 CAMPO MAIOR;190;2469;5113;6004;2099;-;-;-;140;16015
220225 CANAVIEIRA;39;145;470;439;116;-;-;-;43;1252
220230 CANTO DO BURITI;318;1298;2248;2511;713;-;-;-;78;7166
220240 CAPITAO DE CAMPOS;111;731;1426;1324;294;-;-;-;60;3946
220245 CAPITAO GERVASIO OLIVEIRA;50;193;435;499;84;-;-;-;33;1294
220250 CARACOL;304;599;1484;1337;235;-;-;-;77;4036
220253 CARAUBAS DO PIAUI;124;400;843;543;96;-;-;-;32;2038
220255 CARIDADE DO PIAUI;88;232;631;673;132;-;-;-;13;1769
220260 CASTELO DO PIAUI;327;1416;2552;2661;427;-;-;-;187;7570
220265 CAXINGO;221;408;756;615;102;-;-;-;39;2141
220270 COCAL;926;2314;3779;2549;584;-;-;-;175;10327
220271 COCAL DE TELHA;36;325;676;533;112;-;-;-;15;1697
220272 COCAL DOS ALVES;166;409;786;356;124;-;-;-;33;1874
220273 COIVARAS;28;211;390;472;62;-;-;-;22;1185
220275 COLONIA DO GURGUEIA;58;254;656;1014;178;-;1;-;26;2187
220277 COLONIA DO PIAUI;48;268;803;844;241;-;-;-;59;2263
220280 CONCEICAO DO CANINDE;69;275;565;670;99;-;-;-;24;1702
220285 CORONEL JOSE DIAS;10;127;523;546;125;-;-;-;21;1352
220290 CORRENTE;151;1084;3658;4297;1159;-;-;-;187;10536
220300 CRISTALANDIA DO PIAUI;151;453;1041;1032;214;-;-;-;69;2960
220310 CRISTINO CASTRO;100;562;1667;1522;329;-;-;-;53;4233
220320 CURIMATA;43;450;2029;1773;404;-;-;-;214;4913
220323 CURRAIS;88;357;755;786;84;-;-;-;23;2093
220325 CURRALINHOS;38;180;431;560;65;-;-;-;33;1307
220327 CURRAL NOVO DO PIAUI;131;295;527;682;140;-;-;-;25;1800
220330 DEMERVAL LOBAO;170;641;1487;2298;378;-;-;-;117;5091
220335 DIRCEU ARCOVERDE;29;224;810;886;153;-;-;-;42;2144
220340 DOM EXPEDITO LOPES;41;191;626;854;241;-;-;-;12;1965
220342 DOMINGOS MOURAO;106;438;517;398;67;-;-;-;34;1560
220345 DOM INOCENCIO;47;336;933;856;160;-;-;-;34;2366
220350 ELESBAO VELOSO;78;518;1942;1425;381;-;-;-;135;4479
220360 ELISEU MARTINS;32;157;453;572;172;-;-;-;20;1406
220370 ESPERANTINA;548;2859;5029;6024;1101;-;1;-;157;15719
220375 FARTURA DO PIAUI;76;231;658;619;107;-;-;-;42;1733
220380 FLORES DO PIAUI;65;265;521;580;106;-;-;-;39;1576
220385 FLORESTA DO PIAUI;20;96;214;240;54;-;-;-;14;638
220390 FLORIANO;255;1598;5304;9776;5236;-;-;-;120;22289
220400 FRANCINOPOLIS;104;150;697;539;102;-;-;-;58;1650
220410 FRANCISCO AYRES;40;158;472;649;188;-;-;-;11;1518
220415 FRANCISCO MACEDO;56;101;241;337;82;-;-;-;6;823
220420 FRANCISCO SANTOS;91;246;749;1052;363;-;-;-;10;2511
220430 FRONTEIRAS;252;566;1063;1295;429;-;-;-;27;3632
220435 GEMINIANO;95;276;615;814;134;-;-;-;8;1942
220440 GILBUES;160;859;1782;1291;283;-;-;-;98;4473
220450 GUADALUPE;51;475;1273;1537;529;-;-;-;153;4018
220455 GUARIBAS;181;345;647;560;116;-;-;-;19;1868
220460 HUGO NAPOLEAO;26;120;342;587;69;-;-;-;16;1160
220465 ILHA GRANDE;115;469;1344;1283;410;-;-;-;74;3695
