 Nascidos vivos - Brasil;;;;;;;
Nascim p/resid.mãe por Município e Estado civil mãe;;;;;;;
Período:2000-2022;;;;;;;
Município;Solteira;Casada;Viúva;Separada judicialmente;União consensual;Ignorado;Total
 MUNICIPIO IGNORADO - RO;55;46;-;-;36;2;139
110001 ALTA FLORESTA D'OESTE;3525;4019;23;88;2212;216;10083
110002 ARIQUEMES;13828;11826;94;285;11093;1700;38826
110003 CABIXI;872;926;6;44;206;22;2076
110004 CACOAL;7580;14378;77;392;9170;105;31702
110005 CEREJEIRAS;2485;2552;16;117;890;104;6164
110006 COLORADO DO OESTE;2738;2627;28;134;517;77;6121
110007 CORUMBIARA;1120;1172;7;55;386;50;2790
110008 COSTA MARQUES;3074;1124;9;23;1567;116;5913
110009 ESPIGAO D'OESTE;3124;4754;29;119;3289;158;11473
110010 GUAJARA-MIRIM;15642;3059;30;68;1089;156;20044
110011 JARU;7668;9253;51;260;3853;377;21462
110012 JI-PARANA;17228;20036;119;439;9576;886;48284
110013 MACHADINHO D'OESTE;4593;4503;28;84;2640;498;12346
110014 NOVA BRASILANDIA D'OESTE;2445;3407;29;116;1182;71;7250
110015 OURO PRETO DO OESTE;5324;5848;37;176;2539;189;14113
110018 PIMENTA BUENO;5253;5073;29;160;3266;170;13951
110020 PORTO VELHO;81160;48371;266;1106;46821;9204;186928
110025 PRESIDENTE MEDICI;2044;3191;24;98;1502;99;6958
110026 RIO CRESPO;326;317;6;5;243;65;962
110028 ROLIM DE MOURA;6773;8294;54;272;4827;188;20408
110029 SANTA LUZIA D'OESTE;949;1222;14;30;626;35;2876
110030 VILHENA;17090;10447;78;745;2829;323;31512
110032 SAO MIGUEL DO GUAPORE;2998;3159;40;121;1630;97;8045
110033 NOVA MAMORE;5021;2637;24;66;1175;117;9040
110034 ALVORADA D'OESTE;2166;2774;16;62;900;80;5998
110037 ALTO ALEGRE DOS PARECIS;1278;1586;13;41;924;67;3909
110040 ALTO PARAISO;1918;1921;13;41;1485;243;5621
110045 BURITIS;5158;6475;40;169;2608;255;14705
110050 NOVO HORIZONTE DO OESTE;810;1483;11;29;619;37;2989
110060 CACAULANDIA;526;818;10;12;374;69;1809
110070 CAMPO NOVO DE RONDONIA;1286;1643;10;33;723;84;3779
110080 CANDEIAS DO JAMARI;3296;1406;5;32;1695;231;6665
110090 CASTANHEIRAS;376;463;1;14;300;7;1161
110092 CHUPINGUAIA;1746;851;6;48;297;36;2984
110094 CUJUBIM;1855;1236;13;25;1333;198;4660
110100 GOVERNADOR JORGE TEIXEIRA;1096;1735;13;39;451;67;3401
110110 ITAPUA DO OESTE;1195;640;6;14;499;86;2440
110120 MINISTRO ANDREAZZA;549;1535;10;25;669;25;2813
110130 MIRANTE DA SERRA;1384;2067;14;42;1031;78;4616
110140 MONTE NEGRO;1914;2022;15;34;1075;152;5212
110143 NOVA UNIAO;781;1077;3;26;403;38;2328
110145 PARECIS;529;553;-;12;328;13;1435
110146 PIMENTEIRAS DO OESTE;624;240;2;13;152;38;1069
110147 PRIMAVERA DE RONDONIA;364;545;7;9;253;8;1186
110148 SAO FELIPE D'OESTE;486;856;3;14;364;16;1739
110149 SAO FRANCISCO DO GUAPORE;2580;2003;19;72;1399;168;6241
110150 SERINGUEIRAS;1393;1861;10;45;895;64;4268
110155 TEIXEIROPOLIS;402;781;4;26;181;18;1412
110160 THEOBROMA;1062;1399;3;30;547;65;3106
110170 URUPA;1162;1919;14;45;548;105;3793
110175 VALE DO ANARI;772;1014;6;20;465;40;2317
110180 VALE DO PARAISO;781;1030;5;20;357;19;2212
 MUNICIPIO IGNORADO - AC;4;9;-;-;-;-;13
120001 ACRELANDIA;1395;1409;9;29;2296;172;5310
120005 ASSIS BRASIL;2052;728;9;4;2094;230;5117
120010 BRASILEIA;4884;2281;32;40;4202;280;11719
120013 BUJARI;1015;696;8;17;2352;89;4177
120017 CAPIXABA;1157;835;9;19;1999;98;4117
120020 CRUZEIRO DO SUL;22969;6804;48;106;12305;756;42988
120025 EPITACIOLANDIA;2741;1224;15;21;2285;196;6482
120030 FEIJO;8076;2887;30;45;5767;254;17059
120032 JORDAO;1793;591;4;6;1941;115;4450
120033 MANCIO LIMA;3868;1100;11;12;3353;301;8645
120034 MANOEL URBANO;2100;668;6;9;1963;158;4904
120035 MARECHAL THAUMATURGO;3947;1315;5;17;3542;130;8956
120038 PLACIDO DE CASTRO;2494;1670;16;17;3413;127;7737
120039 PORTO WALTER;3197;671;12;14;2536;125;6555
120040 RIO BRANCO;43250;38914;247;839;70686;3702;157638
120042 RODRIGUES ALVES;4688;1673;24;13;2546;172;9116
120043 SANTA ROSA DO PURUS;1756;377;5;4;1312;73;3527
120045 SENADOR GUIOMARD;2614;1728;18;48;3832;188;8428
120050 SENA MADUREIRA;8826;2840;18;29;8288;122;20123
120060 TARAUACA;11355;5101;27;86;7723;310;24602
120070 XAPURI;3752;1280;12;19;2249;381;7693
120080 PORTO ACRE;1567;1342;13;23;3566;154;6665
 MUNICIPIO IGNORADO - AM;132;30;-;-;14;112;288
130002 ALVARAES;5976;530;6;6;1170;51;7739
130006 AMATURA;3611;386;3;3;1018;17;5038
130008 ANAMA;2572;817;4;2;1115;30;4540
130010 ANORI;2956;1439;4;7;1245;341;5992
130014 APUI;2832;1474;17;25;1136;44;5528
130020 ATALAIA DO NORTE;3264;733;10;4;2899;198;7108
130030 AUTAZES;9520;3805;32;50;4838;425;18670
130040 BARCELOS;5853;1286;7;10;1982;116;9254
130050 BARREIRINHA;7182;2617;14;18;6120;61;16012
130060 BENJAMIN CONSTANT;13103;1714;21;21;5554;255;20668
130063 BERURI;4379;1383;8;7;3855;104;9736
130068 BOA VISTA DO RAMOS;5160;1282;6;6;1650;23;8127
130070 BOCA DO ACRE;7029;1706;17;25;5664;1020;15461
130080 BORBA;9696;1791;6;15;4423;197;16128
130083 CAAPIRANGA;1985;757;6;3;1199;77;4027
130090 CANUTAMA;2817;485;7;6;1118;57;4490
130100 CARAUARI;8458;2177;11;10;2529;301;13486
130110 CAREIRO;5252;2128;13;95;1942;273;9703
130115 CAREIRO DA VARZEA;3014;1131;5;8;675;62;4895
130120 COARI;21070;4970;38;40;12445;980;39543
130130 CODAJAS;4535;1698;29;26;3480;146;9914
130140 EIRUNEPE;7958;3827;30;16;6150;135;18116
130150 ENVIRA;3637;905;17;2;3541;248;8350
130160 FONTE BOA;7482;1476;12;83;3754;68;12875
130165 GUAJARA;4166;871;15;14;2608;73;7747
130170 HUMAITA;16555;3061;22;36;2514;293;22481
130180 IPIXUNA;5043;1620;24;2;2491;151;9331
130185 IRANDUBA;11723;2943;20;33;3620;223;18562
130190 ITACOATIARA;32550;6423;56;71;7136;160;46396
130195 ITAMARATI;3286;480;7;2;1155;69;4999
130200 ITAPIRANGA;2503;588;2;8;1038;37;4176
130210 JAPURA;1897;363;3;2;697;42;3004
130220 JURUA;2418;460;7;5;1131;90;4111
130230 JUTAI;8987;602;13;22;1682;96;11402
130240 LABREA;8455;1531;15;15;6351;76;16443
130250 MANACAPURU;18051;7100;75;82;22792;472;48572
130255 MANAQUIRI;3322;857;13;11;972;66;5241
130260 MANAUS;538460;195706;895;2955;146288;9749;894053
130270 MANICORE;11335;5251;31;25;2709;453;19804
130280 MARAA;3876;816;8;8;2789;82;7579
130290 MAUES;19090;4100;43;40;7137;139;30549
130300 NHAMUNDA;3820;1208;7;3;2004;711;7753
130310 NOVA OLINDA DO NORTE;10334;1428;14;20;1712;80;13588
130320 NOVO AIRAO;3348;1298;8;15;1739;86;6494
130330 NOVO ARIPUANA;4839;1156;-;6;2286;245;8532
130340 PARINTINS;21449;9608;47;45;17642;413;49204
130350 PAUINI;5300;889;9;3;1178;52;7431
130353 PRESIDENTE FIGUEIREDO;6537;2525;15;28;2291;338;11734
130356 RIO PRETO DA EVA;5078;1421;8;17;1118;208;7850
130360 SANTA ISABEL DO RIO NEGRO;3606;2143;20;9;954;46;6778
130370 SANTO ANTONIO DO ICA;7353;1291;10;11;4962;24;13651
130380 SAO GABRIEL DA CACHOEIRA;14738;9800;28;26;2604;538;27734
130390 SAO PAULO DE OLIVENCA;10141;1398;11;2;5616;134;17302
130395 SAO SEBASTIAO DO UATUMA;2067;783;4;7;1243;19;4123
130400 SILVES;2652;436;8;4;1342;16;4458
130406 TABATINGA;24766;2899;40;18;5675;529;33927
130410 TAPAUA;5820;1434;8;10;2171;138;9581
130420 TEFE;18588;7198;71;72;12298;998;39225
130423 TONANTINS;5276;824;5;3;1911;128;8147
130426 UARINI;4452;904;10;10;1653;64;7093
130430 URUCARA;3887;972;12;10;1956;90;6927
130440 URUCURITUBA;5035;917;8;9;1501;18;7488
 MUNICIPIO IGNORADO - RR;21;8;-;-;2;2;33
140002 AMAJARI;3654;2056;11;15;844;199;6779
140005 ALTO ALEGRE;6261;4597;20;14;1370;332;12594
140010 BOA VISTA;86614;41776;183;968;24186;289;154016
140015 BONFIM;3596;1472;8;18;1538;702;7334
140017 CANTA;4065;1465;7;21;1270;124;6952
140020 CARACARAI;4711;1992;13;23;2003;208;8950
140023 CAROEBE;1456;1438;6;22;818;63;3803
140028 IRACEMA;1737;1065;7;13;502;50;3374
140030 MUCAJAI;4133;1775;9;34;1292;80;7323
140040 NORMANDIA;4077;1534;5;8;2036;711;8371
140045 PACARAIMA;4227;1769;10;42;1653;498;8199
140047 RORAINOPOLIS;4392;2529;12;53;2956;88;10030
140050 SAO JOAO DA BALIZA;1251;899;4;19;640;30;2843
140060 SAO LUIZ;984;726;5;13;506;43;2277
140070 UIRAMUTA;3829;2219;6;11;2215;1181;9461
 MUNICIPIO IGNORADO - PA;29;25;-;-;6;1;61
150010 ABAETETUBA;23075;12567;78;125;24886;1146;61877
150013 ABEL FIGUEIREDO;1064;791;5;8;750;20;2638
150020 ACARA;11083;2611;22;24;6628;404;20772
150030 AFUA;12179;2000;14;13;3987;586;18779
150034 AGUA AZUL DO NORTE;1764;1400;14;21;1195;94;4488
150040 ALENQUER;12217;4788;23;23;11594;70;28715
150050 ALMEIRIM;7733;3108;17;41;6736;356;17991
150060 ALTAMIRA;20187;13698;110;200;17742;984;52921
150070 ANAJAS;5617;3588;17;8;5961;143;15334
150080 ANANINDEUA;137329;37650;225;588;21974;5069;202835
150085 ANAPU;4057;2398;21;37;4331;226;11070
150090 AUGUSTO CORREA;15421;2028;20;16;4027;118;21630
150095 AURORA DO PARA;4802;1562;15;17;3182;120;9698
150100 AVEIRO;2589;806;13;12;1627;96;5143
150110 BAGRE;4373;1958;16;26;4508;181;11062
150120 BAIAO;7236;964;22;35;3645;71;11973
150125 BANNACH;422;407;2;5;296;14;1146
150130 BARCARENA;20215;10395;45;111;14530;1066;46362
150140 BELEM;304775;103588;491;2000;89830;3107;503791
150145 BELTERRA;2809;1127;5;8;1954;110;6013
150150 BENEVIDES;14075;3290;23;60;4140;381;21969
150157 BOM JESUS DO TOCANTINS;3288;1342;13;12;999;32;5686
150160 BONITO;2488;799;5;4;1094;23;4413
150170 BRAGANCA;35502;6624;37;62;8596;362;51183
150172 BRASIL NOVO;1956;2475;22;33;2333;82;6901
150175 BREJO GRANDE DO ARAGUAIA;1210;475;3;7;843;18;2556
150178 BREU BRANCO;7977;3176;33;39;6268;78;17571
150180 BREVES;26265;7575;48;55;18491;1757;54191
150190 BUJARU;7086;1143;29;20;1957;957;11192
150195 CACHOEIRA DO PIRIA;3787;804;16;8;1940;102;6657
150200 CACHOEIRA DO ARARI;4550;398;16;15;1080;57;6116
150210 CAMETA;38493;5721;28;28;13550;672;58492
150215 CANAA DOS CARAJAS;6058;5413;29;75;7381;203;19159
150220 CAPANEMA;15785;4921;32;62;5519;141;26460
150230 CAPITAO POCO;14081;2653;12;23;2971;74;19814
150240 CASTANHAL;38182;16190;81;154;20665;414;75686
150250 CHAVES;3562;634;7;7;2067;137;6414
150260 COLARES;2278;470;4;2;1095;73;3922
150270 CONCEICAO DO ARAGUAIA;7853;6051;31;112;5505;448;20000
150275 CONCORDIA DO PARA;4559;1798;18;21;4189;227;10812
150276 CUMARU DO NORTE;986;667;4;6;1250;85;2998
150277 CURIONOPOLIS;4337;1508;10;21;2697;73;8646
150280 CURRALINHO;4496;2091;14;16;5586;589;12792
150285 CURUA;2670;783;3;11;1726;66;5259
150290 CURUCA;5712;1434;12;21;3520;208;10907
150293 DOM ELISEU;10423;3806;43;65;4154;225;18716
150295 ELDORADO DOS CARAJAS;6555;2209;15;35;4363;136;13313
150300 FARO;1828;273;2;5;1191;60;3359
150304 FLORESTA DO ARAGUAIA;3061;1889;17;29;1683;129;6808
150307 GARRAFAO DO NORTE;6731;1418;17;29;2730;239;11164
150309 GOIANESIA DO PARA;8671;2801;18;44;3501;142;15177
150310 GURUPA;7260;1971;26;10;5552;657;15476
150320 IGARAPE-ACU;7525;1814;15;18;4099;83;13554
150330 IGARAPE-MIRI;15642;3237;35;33;7276;410;26633
150340 INHANGAPI;2112;570;3;1;1302;26;4014
150345 IPIXUNA DO PARA;6571;1907;25;35;4296;137;12971
150350 IRITUIA;6614;1845;19;24;3130;254;11886
150360 ITAITUBA;28747;13319;77;101;15364;586;58194
150370 ITUPIRANGA;12155;3116;39;39;5869;156;21374
150375 JACAREACANGA;3017;4970;13;12;2558;382;10952
150380 JACUNDA;10704;5433;56;35;6494;204;22926
150390 JURUTI;8252;2743;19;50;9063;493;20620
150400 LIMOEIRO DO AJURU;5467;1628;7;6;3144;100;10352
150405 MAE DO RIO;7927;2428;22;28;4593;163;15161
150410 MAGALHAES BARATA;1377;307;6;3;726;35;2454
150420 MARABA;45575;25742;159;208;36277;508;108469
150430 MARACANA;5660;1070;17;9;2520;167;9443
150440 MARAPANIM;4322;579;4;5;2195;93;7198
150442 MARITUBA;23488;5212;56;87;9720;725;39288
150445 MEDICILANDIA;2942;3647;22;22;4356;223;11212
150450 MELGACO;6217;2104;14;10;3715;452;12512
150460 MOCAJUBA;6858;1209;13;27;3551;104;11762
150470 MOJU;12419;3314;32;46;10981;1047;27839
150475 MOJUI DOS CAMPOS;504;512;3;3;1302;18;2342
150480 MONTE ALEGRE;13065;3984;32;43;8840;1332;27296
150490 MUANA;4523;1002;10;38;5998;287;11858
150495 NOVA ESPERANCA DO PIRIA;4123;814;19;19;2589;862;8426
150497 NOVA IPIXUNA;2227;966;5;8;1494;41;4741
150500 NOVA TIMBOTEUA;2237;600;9;6;938;34;3824
150503 NOVO PROGRESSO;5161;2357;9;30;3905;62;11524
150506 NOVO REPARTIMENTO;11551;5059;55;58;12256;506;29485
150510 OBIDOS;10049;3945;37;217;8781;1073;24102
150520 OEIRAS DO PARA;8210;2005;12;19;5805;87;16138
150530 ORIXIMINA;11138;10291;46;41;12150;614;34280
150540 OUREM;4103;957;12;7;1916;98;7093
150543 OURILANDIA DO NORTE;5773;2603;14;39;3519;109;12057
150548 PACAJA;5671;4738;35;30;5116;242;15832
150549 PALESTINA DO PARA;1609;598;7;6;969;26;3215
150550 PARAGOMINAS;18261;11451;54;119;16081;1175;47141
150553 PARAUAPEBAS;37168;22770;91;327;29688;396;90440
150555 PAU D'ARCO;1112;933;7;8;865;31;2956
150560 PEIXE-BOI;1689;301;2;3;618;24;2637
150563 PICARRA;1959;953;4;13;795;32;3756
150565 PLACAS;2380;1723;11;26;2170;62;6372
150570 PONTA DE PEDRAS;3519;1119;4;16;2220;223;7101
150580 PORTEL;11057;2801;28;27;15276;213;29402
150590 PORTO DE MOZ;6328;3070;16;33;5443;103;14993
150600 PRAINHA;5975;2358;10;18;6141;565;15067
150610 PRIMAVERA;2770;547;6;10;1090;38;4461
150611 QUATIPURU;2733;496;7;4;1135;50;4425
150613 REDENCAO;14689;12235;99;170;11850;360;39403
150616 RIO MARIA;3570;2320;15;40;1640;42;7627
150618 RONDON DO PARA;8542;5634;37;56;4355;136;18760
150619 RUROPOLIS;3890;2486;20;29;3306;281;10012
150620 SALINOPOLIS;9270;1843;22;22;5028;470;16655
150630 SALVATERRA;4376;589;9;4;2174;163;7315
150635 SANTA BARBARA DO PARA;4366;729;2;15;1473;142;6727
150640 SANTA CRUZ DO ARARI;1032;177;1;-;503;36;1749
150650 SANTA IZABEL DO PARA;11170;3155;23;47;6566;869;21830
150655 SANTA LUZIA DO PARA;5162;1173;15;6;1769;133;8258
150658 SANTA MARIA DAS BARREIRAS;1636;997;9;13;1195;90;3940
150660 SANTA MARIA DO PARA;4994;2068;18;15;3082;74;10251
150670 SANTANA DO ARAGUAIA;6953;2131;30;27;5070;49;14260
150680 SANTAREM;74408;31224;189;338;43770;1658;151587
150690 SANTAREM NOVO;1270;304;3;3;720;50;2350
150700 SANTO ANTONIO DO TAUA;6496;1621;9;23;3190;139;11478
150710 SAO CAETANO DE ODIVELAS;2782;656;11;11;1528;153;5141
150715 SAO DOMINGOS DO ARAGUAIA;4984;1719;22;10;3423;67;10225
150720 SAO DOMINGOS DO CAPIM;8066;1679;26;8;3912;110;13801
150730 SAO FELIX DO XINGU;9156;5472;45;87;7218;265;22243
150740 SAO FRANCISCO DO PARA;2680;923;8;5;1659;41;5316
150745 SAO GERALDO DO ARAGUAIA;5924;3356;14;47;2982;273;12596
150746 SAO JOAO DA PONTA;928;159;3;1;660;25;1776
150747 SAO JOAO DE PIRABAS;4233;759;6;6;2185;223;7412
150750 SAO JOAO DO ARAGUAIA;2146;825;7;5;1690;32;4705
150760 SAO MIGUEL DO GUAMA;12655;3966;34;36;5938;789;23418
150770 SAO SEBASTIAO DA BOA VISTA;4111;1227;12;10;4466;265;10091
150775 SAPUCAIA;851;563;5;7;615;101;2142
150780 SENADOR JOSE PORFIRIO;3160;1370;10;17;1950;138;6645
150790 SOURE;6409;559;18;12;2048;63;9109
150795 TAILANDIA;19504;4086;48;38;10327;546;34549
150796 TERRA ALTA;2255;535;3;5;1259;30;4087
150797 TERRA SANTA;3270;1119;9;22;2246;220;6886
150800 TOME-ACU;11307;5585;29;36;10426;411;27794
150803 TRACUATEUA;8999;1383;13;2;2065;83;12545
150805 TRAIRAO;2557;1087;7;13;1708;67;5439
150808 TUCUMA;7047;4451;21;60;3782;77;15438
150810 TUCURUI;19329;9268;71;199;16405;106;45378
150812 ULIANOPOLIS;5295;1620;12;21;2785;479;10212
150815 URUARA;7190;6605;50;55;4157;636;18693
150820 VIGIA;10579;2907;12;18;4046;353;17915
150830 VISEU;14793;3487;26;22;8535;357;27220
150835 VITORIA DO XINGU;2351;1483;16;13;2081;135;6079
150840 XINGUARA;7430;5768;32;94;6085;393;19802
 MUNICIPIO IGNORADO - AP;5;-;1;-;2;-;8
160005 SERRA DO NAVIO;912;431;2;6;541;42;1934
160010 AMAPA;2354;318;2;9;1086;81;3850
160015 PEDRA BRANCA DO AMAPARI;2304;837;2;15;1212;192;4562
160020 CALCOENE;2476;443;5;1;1327;125;4377
160021 CUTIAS;1277;322;3;3;411;65;2081
160023 FERREIRA GOMES;1897;356;4;6;855;87;3205
160025 ITAUBAL;1488;266;4;4;455;70;2287
160027 LARANJAL DO JARI;9059;3147;25;59;7217;624;20131
160030 MACAPA;124417;32979;201;821;43151;4279;205848
160040 MAZAGAO;6263;1109;15;23;2432;167;10009
160050 OIAPOQUE;4979;1632;12;25;3779;247;10674
160053 PORTO GRANDE;4695;956;10;19;1939;154;7773
160055 PRACUUBA;1105;160;1;2;330;60;1658
160060 SANTANA;30147;5942;51;138;14606;797;51681
160070 TARTARUGALZINHO;4122;603;4;14;1170;262;6175
160080 VITORIA DO JARI;2831;1188;10;13;2149;210;6401
 MUNICIPIO IGNORADO - TO;17;18;2;1;14;1;53
170025 ABREULANDIA;345;269;1;1;222;6;844
170030 AGUIARNOPOLIS;1037;531;2;16;148;19;1753
170035 ALIANCA DO TOCANTINS;1137;436;2;9;386;10;1980
170040 ALMAS;1930;620;3;5;732;18;3308
170070 ALVORADA;1310;911;11;24;608;32;2896
170100 ANANAS;2749;1622;3;26;168;21;4589
170105 ANGICO;635;373;6;3;52;1;1070
170110 APARECIDA DO RIO NEGRO;657;434;2;6;531;12;1642
170130 ARAGOMINAS;1272;494;3;8;169;4;1950
170190 ARAGUACEMA;1068;673;7;8;587;23;2366
170200 ARAGUACU;1119;1196;4;21;452;35;2827
170210 ARAGUAINA;40930;22106;128;988;4529;105;68786
170215 ARAGUANA;1436;465;2;9;228;19;2159
170220 ARAGUATINS;7677;3124;23;64;2603;142;13633
170230 ARAPOEMA;1918;730;3;22;217;25;2915
170240 ARRAIAS;2541;965;11;13;622;75;4227
170255 AUGUSTINOPOLIS;4486;1999;15;36;1496;104;8136
170270 AURORA DO TOCANTINS;503;290;1;11;160;9;974
170290 AXIXA DO TOCANTINS;2819;1378;6;23;945;46;5217
170300 BABACULANDIA;2043;573;3;10;260;44;2933
170305 BANDEIRANTES DO TOCANTINS;615;316;1;10;137;13;1092
170307 BARRA DO OURO;1325;359;3;7;85;22;1801
170310 BARROLANDIA;828;565;4;11;460;6;1874
170320 BERNARDO SAYAO;798;464;2;17;176;15;1472
170330 BOM JESUS DO TOCANTINS;930;317;1;8;290;28;1574
170360 BRASILANDIA DO TOCANTINS;348;232;2;9;124;11;726
170370 BREJINHO DE NAZARE;1115;438;-;4;380;9;1946
170380 BURITI DO TOCANTINS;2414;744;4;19;685;50;3916
170382 CACHOEIRINHA;469;241;2;3;73;9;797
170384 CAMPOS LINDOS;2189;635;4;9;195;25;3057
170386 CARIRI DO TOCANTINS;515;334;1;10;268;5;1133
170388 CARMOLANDIA;663;230;4;8;74;1;980
170389 CARRASCO BONITO;1066;296;6;8;339;14;1729
170390 CASEARA;804;405;2;4;595;10;1820
170410 CENTENARIO;430;221;2;2;138;8;801
170460 CHAPADA DE AREIA;152;110;-;-;150;-;412
170510 CHAPADA DA NATIVIDADE;690;181;3;5;237;26;1142
170550 COLINAS DO TOCANTINS;7675;4285;25;122;2271;254;14632
170555 COMBINADO;747;646;1;10;284;20;1708
170560 CONCEICAO DO TOCANTINS;1021;279;2;7;328;18;1655
170600 COUTO MAGALHAES;793;389;4;10;423;38;1657
170610 CRISTALANDIA;1222;639;10;11;543;7;2432
170625 CRIXAS DO TOCANTINS;218;146;-;3;111;2;480
170650 DARCINOPOLIS;1575;540;7;9;77;6;2214
170700 DIANOPOLIS;3715;2101;8;25;2123;56;8028
170710 DIVINOPOLIS DO TOCANTINS;1068;716;7;6;674;8;2479
170720 DOIS IRMAOS DO TOCANTINS;671;486;2;5;496;25;1685
170730 DUERE;768;382;2;13;359;11;1535
170740 ESPERANTINA;2555;865;10;10;699;44;4183
170755 FATIMA;756;332;5;11;273;5;1382
170765 FIGUEIROPOLIS;831;561;2;7;359;14;1774
170770 FILADELFIA;2095;656;7;11;171;16;2956
170820 FORMOSO DO ARAGUAIA;2885;2614;16;40;2116;78;7749
170825 FORTALEZA DO TABOCAO;502;314;1;5;277;9;1108
170830 GOIANORTE;568;594;1;15;342;15;1535
170900 GOIATINS;3636;1763;10;21;513;165;6108
170930 GUARAI;4362;3235;9;58;1766;108;9538
170950 GURUPI;14263;10292;59;212;6122;194;31142
170980 IPUEIRAS;342;147;-;3;128;-;620
171050 ITACAJA;1923;952;11;11;285;47;3229
171070 ITAGUATINS;1370;511;4;6;327;44;2262
171090 ITAPIRATINS;583;303;1;3;228;7;1125
171110 ITAPORA DO TOCANTINS;392;361;3;8;215;22;1001
171150 JAU DO TOCANTINS;433;320;4;6;174;6;943
171180 JUARINA;406;285;3;5;85;12;796
171190 LAGOA DA CONFUSAO;1700;1101;3;20;1573;77;4474
171195 LAGOA DO TOCANTINS;839;285;4;2;415;14;1559
171200 LAJEADO;397;356;3;5;390;3;1154
171215 LAVANDEIRA;222;198;2;3;67;12;504
171240 LIZARDA;566;345;3;2;314;8;1238
171245 LUZINOPOLIS;538;394;3;6;103;5;1049
171250 MARIANOPOLIS DO TOCANTINS;616;440;3;4;429;5;1497
171270 MATEIROS;495;168;2;1;235;28;929
171280 MAURILANDIA DO TOCANTINS;604;206;3;4;147;8;972
171320 MIRACEMA DO TOCANTINS;3635;3341;15;62;2034;152;9239
171330 MIRANORTE;1698;1910;8;41;1071;120;4848
171360 MONTE DO CARMO;1328;348;3;6;609;12;2306
171370 MONTE SANTO DO TOCANTINS;220;224;2;2;187;-;635
171380 PALMEIRAS DO TOCANTINS;1083;484;3;15;168;20;1773
171395 MURICILANDIA;987;293;-;5;135;5;1425
171420 NATIVIDADE;2004;647;11;12;679;51;3404
171430 NAZARE;907;678;5;9;63;9;1671
171488 NOVA OLINDA;2983;1226;10;40;338;10;4607
171500 NOVA ROSALANDIA;570;358;1;7;272;4;1212
171510 NOVO ACORDO;778;318;5;8;510;16;1635
171515 NOVO ALEGRE;271;173;-;-;80;7;531
171525 NOVO JARDIM;460;229;3;3;278;2;975
171550 OLIVEIRA DE FATIMA;212;108;4;-;121;1;446
171570 PALMEIRANTE;1050;342;2;8;170;7;1579
171575 PALMEIROPOLIS;977;856;6;14;430;10;2293
171610 PARAISO DO TOCANTINS;6644;7340;32;131;4671;41;18859
171620 PARANA;2164;770;11;10;801;205;3961
171630 PAU D'ARCO;927;418;4;15;131;16;1511
171650 PEDRO AFONSO;2940;1456;7;23;951;77;5454
171660 PEIXE;1932;710;8;19;701;53;3423
171665 PEQUIZEIRO;741;459;4;10;331;22;1567
171670 COLMEIA;1580;1121;5;20;492;28;3246
171700 PINDORAMA DO TOCANTINS;786;355;7;4;360;10;1522
171720 PIRAQUE;667;225;1;1;101;10;1005
171750 PIUM;1117;601;6;5;575;31;2335
171780 PONTE ALTA DO BOM JESUS;695;432;3;3;315;18;1466
171790 PONTE ALTA DO TOCANTINS;1559;539;2;6;660;29;2795
171800 PORTO ALEGRE DO TOCANTINS;514;291;2;3;292;4;1106
171820 PORTO NACIONAL;12024;5792;49;127;5607;97;23696
171830 PRAIA NORTE;1718;753;2;15;581;28;3097
171840 PRESIDENTE KENNEDY;721;504;5;4;215;14;1463
171845 PUGMIL;374;207;2;3;203;1;790
171850 RECURSOLANDIA;928;477;2;7;310;31;1755
171855 RIACHINHO;957;455;5;8;95;6;1526
171865 RIO DA CONCEICAO;340;196;-;4;211;4;755
171870 RIO DOS BOIS;321;335;3;7;220;46;932
171875 RIO SONO;732;545;3;2;462;19;1763
171880 SAMPAIO;1260;397;5;5;316;27;2010
171884 SANDOLANDIA;420;357;5;5;228;20;1035
171886 SANTA FE DO ARAGUAIA;2097;750;8;25;253;9;3142
171888 SANTA MARIA DO TOCANTINS;581;224;-;7;171;17;1000
171889 SANTA RITA DO TOCANTINS;272;120;-;-;151;5;548
171890 SANTA ROSA DO TOCANTINS;1238;238;5;5;420;15;1921
171900 SANTA TEREZA DO TOCANTINS;459;318;3;7;323;18;1128
172000 SANTA TEREZINHA DO TOCANTINS;421;336;3;3;44;4;811
172010 SAO BENTO DO TOCANTINS;1108;399;2;5;299;29;1842
172015 SAO FELIX DO TOCANTINS;295;134;1;3;160;7;600
172020 SAO MIGUEL DO TOCANTINS;1820;813;4;20;131;12;2800
172025 SAO SALVADOR DO TOCANTINS;467;144;3;3;163;5;785
172030 SAO SEBASTIAO DO TOCANTINS;1028;443;4;3;346;18;1842
172049 SAO VALERIO;905;274;4;4;347;17;1551
172065 SILVANOPOLIS;1226;363;3;10;449;7;2058
172080 SITIO NOVO DO TOCANTINS;2138;1150;10;10;337;41;3686
172085 SUCUPIRA;331;137;-;1;118;8;595
172090 TAGUATINGA;2918;1352;7;21;985;53;5336
172093 TAIPAS DO TOCANTINS;373;145;1;-;193;2;714
172097 TALISMA;306;200;1;5;153;5;670
172100 PALMAS;33147;40959;160;776;27835;946;103823
172110 TOCANTINIA;1237;2070;7;8;785;195;4302
172120 TOCANTINOPOLIS;5825;3676;22;46;849;115;10533
172125 TUPIRAMA;258;165;-;3;99;11;536
