 Nascidos vivos - Brasil;;;;;;;;;
Nascim p/resid.mãe por Município e Duração gestação;;;;;;;;;
Período:2000-2022;;;;;;;;;
Município;Menos de 22 semanas;De 22 a 27 semanas;De 28 a 31 semanas;De 32 a 36 semanas;De 28 a 36 semanas, não especificado;De 37 a 41 semanas;42 semanas ou mais;Ignorado;Total
171845 PUGMIL;2;1;6;52;-;708;21;-;790
171850 RECURSOLANDIA;2;5;15;94;-;1562;52;25;1755
171855 RIACHINHO;2;5;9;64;-;1414;28;4;1526
171865 RIO DA CONCEICAO;-;3;1;53;-;652;37;9;755
171870 RIO DOS BOIS;-;4;4;52;-;790;36;46;932
171875 RIO SONO;1;7;12;130;-;1566;34;13;1763
171880 SAMPAIO;1;7;15;133;-;1725;87;42;2010
171884 SANDOLANDIA;1;5;7;75;-;868;46;33;1035
171886 SANTA FE DO ARAGUAIA;2;13;22;168;-;2899;30;8;3142
171888 SANTA MARIA DO TOCANTINS;-;3;7;67;-;900;19;4;1000
171889 SANTA RITA DO TOCANTINS;-;-;9;32;-;481;21;5;548
171890 SANTA ROSA DO TOCANTINS;2;4;20;156;-;1617;87;35;1921
171900 SANTA TEREZA DO TOCANTINS;1;3;5;85;-;989;34;11;1128
172000 SANTA TEREZINHA DO TOCANTINS;-;1;1;57;-;716;30;6;811
172010 SAO BENTO DO TOCANTINS;-;6;12;142;-;1493;144;45;1842
172015 SAO FELIX DO TOCANTINS;1;-;3;65;-;517;10;4;600
172020 SAO MIGUEL DO TOCANTINS;-;9;23;247;-;2348;145;28;2800
172025 SAO SALVADOR DO TOCANTINS;-;2;4;55;-;682;26;16;785
172030 SAO SEBASTIAO DO TOCANTINS;1;4;14;106;-;1620;73;24;1842
172049 SAO VALERIO;-;7;13;107;-;1328;70;26;1551
172065 SILVANOPOLIS;-;9;21;175;-;1751;84;18;2058
172080 SITIO NOVO DO TOCANTINS;1;15;21;215;-;3295;107;32;3686
172085 SUCUPIRA;-;2;4;43;-;523;10;13;595
172090 TAGUATINGA;1;27;40;374;-;4714;149;31;5336
172093 TAIPAS DO TOCANTINS;-;2;3;41;-;640;18;10;714
172097 TALISMA;-;4;6;58;-;563;21;18;670
172100 PALMAS;36;399;813;7879;-;93167;1226;303;103823
172110 TOCANTINIA;2;6;23;309;-;3599;170;193;4302
172120 TOCANTINOPOLIS;5;49;94;845;-;8986;316;238;10533
172125 TUPIRAMA;-;2;6;32;-;477;14;5;536
172130 TUPIRATINS;1;-;3;33;-;434;111;1;583
172208 WANDERLANDIA;-;8;18;222;-;3351;49;36;3684
172210 XAMBIOA;3;25;40;503;-;5362;129;54;6116
 MUNICIPIO IGNORADO - MA;1;1;-;6;-;69;2;5;84
210005 ACAILANDIA;20;151;379;2969;-;41876;1730;281;47406
210010 AFONSO CUNHA;2;8;15;184;-;2385;109;87;2790
210015 AGUA DOCE DO MARANHAO;2;11;15;251;-;2940;235;133;3587
210020 ALCANTARA;9;24;65;474;-;5158;202;233;6165
210030 ALDEIAS ALTAS;9;29;80;637;-;8292;370;1024;10441
210040 ALTAMIRA DO MARANHAO;2;5;15;135;-;2270;78;35;2540
210043 ALTO ALEGRE DO MARANHAO;2;14;60;645;-;8309;289;145;9464
210047 ALTO ALEGRE DO PINDARE;5;50;83;714;-;10830;574;125;12381
210050 ALTO PARNAIBA;3;7;46;196;-;4004;124;213;4593
210055 AMAPA DO MARANHAO;1;8;18;184;-;2027;123;255;2616
210060 AMARANTE DO MARANHAO;6;35;119;856;1;15527;483;327;17354
210070 ANAJATUBA;3;25;64;455;-;6800;295;81;7723
210080 ANAPURUS;2;16;41;428;-;5973;266;201;6927
210083 APICUM-ACU;4;24;51;400;-;4472;219;476;5646
210087 ARAGUANA;2;7;25;271;-;2463;449;159;3376
210090 ARAIOSES;5;35;101;1295;-;11852;853;223;14364
210095 ARAME;1;14;88;850;-;12110;593;762;14418
210100 ARARI;2;38;78;738;-;9748;493;469;11566
210110 AXIXA;8;14;40;319;-;3392;169;161;4103
210120 BACABAL;11;111;273;2149;-;37823;884;1211;42462
210125 BACABEIRA;-;16;54;488;-;4864;268;170;5860
210130 BACURI;2;5;36;341;-;5424;159;366;6333
210135 BACURITUBA;-;2;8;122;-;1100;172;65;1469
210140 BALSAS;18;146;278;2846;-;41631;1210;192;46321
210150 BARAO DE GRAJAU;2;17;45;396;-;5607;171;68;6306
210160 BARRA DO CORDA;10;88;257;1978;1;33545;890;926;37695
210170 BARREIRINHAS;7;41;136;1555;-;24019;1350;403;27511
210173 BELAGUA;3;12;40;326;-;3439;230;127;4177
210177 BELA VISTA DO MARANHAO;1;9;18;206;-;3860;117;36;4247
210180 BENEDITO LEITE;2;3;16;112;-;1477;86;23;1719
210190 BEQUIMAO;4;18;58;915;-;4372;325;368;6060
210193 BERNARDO DO MEARIM;-;3;13;117;-;1498;80;24;1735
210197 BOA VISTA DO GURUPI;4;13;39;219;-;2512;170;227;3184
210200 BOM JARDIM;4;47;78;844;-;11689;911;615;14188
210203 BOM JESUS DAS SELVAS;15;44;76;966;-;7751;471;796;10119
210207 BOM LUGAR;1;15;18;172;-;3397;93;70;3766
210210 BREJO;11;48;83;1187;-;11356;612;474;13771
210215 BREJO DE AREIA;-;5;17;221;-;2920;123;98;3384
210220 BURITI;7;31;100;903;-;12697;458;425;14621
210230 BURITI BRAVO;5;25;48;591;-;8225;365;414;9673
210232 BURITICUPU;9;78;166;1769;-;26158;1259;1107;30546
210235 BURITIRANA;1;22;36;328;-;4109;201;50;4747
210237 CACHOEIRA GRANDE;3;9;18;334;-;2471;160;189;3184
210240 CAJAPIO;2;11;36;257;-;1979;390;1401;4076
210250 CAJARI;1;14;70;556;-;4368;416;516;5941
210255 CAMPESTRE DO MARANHAO;3;16;31;300;1;4633;131;69;5184
210260 CANDIDO MENDES;1;8;32;576;-;5133;240;396;6386
210270 CANTANHEDE;6;21;68;405;-;6583;266;68;7417
210275 CAPINZAL DO NORTE;2;12;27;345;-;2952;217;98;3653
210280 CAROLINA;4;23;73;666;-;7600;271;229;8866
210290 CARUTAPERA;2;25;71;723;-;6983;420;1122;9346
210300 CAXIAS;40;228;539;3531;-;50695;1451;7373;63857
210310 CEDRAL;-;7;22;188;-;2326;100;173;2816
210312 CENTRAL DO MARANHAO;1;9;20;253;-;2301;160;233;2977
210315 CENTRO DO GUILHERME;2;16;54;343;-;3180;288;321;4204
210317 CENTRO NOVO DO MARANHAO;4;16;58;443;-;4637;464;726;6348
210320 CHAPADINHA;9;118;256;2210;-;32073;1124;2439;38229
210325 CIDELANDIA;-;19;48;322;-;3809;158;48;4404
210330 CODO;18;198;392;3342;2;46468;1796;404;52620
210340 COELHO NETO;9;59;120;881;-;20406;492;224;22191
210350 COLINAS;7;24;66;914;2;14570;473;197;16253
210355 CONCEICAO DO LAGO-ACU;2;15;44;673;-;4444;207;221;5606
210360 COROATA;8;109;227;1903;-;25313;1037;430;29027
210370 CURURUPU;-;42;93;653;-;9568;360;1243;11959
210375 DAVINOPOLIS;2;19;48;394;1;4500;178;63;5205
210380 DOM PEDRO;4;14;46;484;-;7173;403;210;8334
210390 DUQUE BACELAR;1;3;23;195;-;4488;105;89;4904
210400 ESPERANTINOPOLIS;2;16;50;386;-;7125;248;126;7953
210405 ESTREITO;8;46;102;1005;-;12404;635;216;14416
210407 FEIRA NOVA DO MARANHAO;-;10;12;278;-;2281;85;40;2706
210408 FERNANDO FALCAO;6;12;33;317;-;3514;425;405;4712
210409 FORMOSA DA SERRA NEGRA;1;4;35;400;-;5632;324;68;6464
210410 FORTALEZA DOS NOGUEIRAS;2;12;27;932;-;4160;135;50;5318
210420 FORTUNA;1;11;32;377;-;6705;225;178;7529
210430 GODOFREDO VIANA;1;6;16;241;-;2514;129;337;3244
210440 GONCALVES DIAS;1;4;34;628;-;5043;284;136;6130
210450 GOVERNADOR ARCHER;4;11;25;181;-;3363;177;41;3802
210455 GOVERNADOR EDISON LOBAO;1;31;65;464;-;5095;235;75;5966
210460 GOVERNADOR EUGENIO BARROS;2;14;39;339;-;5437;190;155;6176
210462 GOVERNADOR LUIZ ROCHA;3;9;33;196;-;2943;131;60;3375
210465 GOVERNADOR NEWTON BELLO;1;10;33;224;-;3255;202;104;3829
210467 GOVERNADOR NUNES FREIRE;4;39;100;974;-;10613;478;794;13002
210470 GRACA ARANHA;-;4;20;103;-;1626;79;61;1893
210480 GRAJAU;9;87;213;1848;-;27684;1214;4271;35326
210490 GUIMARAES;2;16;23;349;-;3176;355;121;4042
210500 HUMBERTO DE CAMPOS;4;26;49;399;-;9283;484;742;10987
210510 ICATU;4;27;83;714;-;8425;346;302;9901
210515 IGARAPE DO MEIO;5;16;38;428;-;4988;234;117;5826
210520 IGARAPE GRANDE;3;8;31;244;-;3745;86;44;4161
210530 IMPERATRIZ;65;520;1090;8973;26;99105;3153;1925;114857
210535 ITAIPAVA DO GRAJAU;1;20;43;989;-;3891;271;347;5562
210540 ITAPECURU MIRIM;13;88;225;1868;-;24717;1142;608;28661
210542 ITINGA DO MARANHAO;4;21;93;480;-;7796;239;75;8708
210545 JATOBA;-;3;9;161;-;2913;96;36;3218
210547 JENIPAPO DOS VIEIRAS;1;29;46;393;-;5414;398;754;7035
210550 JOAO LISBOA;6;39;86;799;2;8876;323;154;10285
210560 JOSELANDIA;3;13;33;372;-;5381;196;42;6040
210565 JUNCO DO MARANHAO;4;8;19;161;-;2077;152;149;2570
210570 LAGO DA PEDRA;9;45;85;1123;-;19173;484;287;21206
210580 LAGO DO JUNCO;3;9;23;280;-;3240;178;58;3791
210590 LAGO VERDE;1;16;44;311;-;6427;190;185;7174
210592 LAGOA DO MATO;-;6;14;135;-;2760;67;16;2998
210594 LAGO DOS RODRIGUES;7;6;23;181;-;2873;122;58;3270
210596 LAGOA GRANDE DO MARANHAO;4;11;23;276;-;4460;143;384;5301
210598 LAJEADO NOVO;1;6;13;129;-;2055;83;38;2325
210600 LIMA CAMPOS;-;13;42;399;-;4157;208;69;4888
210610 LORETO;2;7;24;255;-;3287;250;36;3861
210620 LUIS DOMINGUES;1;8;24;321;-;1675;117;335;2481
210630 MAGALHAES DE ALMEIDA;6;19;51;257;-;5076;224;41;5674
210632 MARACACUME;6;22;76;570;-;5453;1548;543;8218
210635 MARAJA DO SENA;3;10;25;154;-;2425;111;72;2800
210637 MARANHAOZINHO;7;8;39;322;-;3155;301;272;4104
210640 MATA ROMA;4;31;61;650;-;6307;282;231;7566
210650 MATINHA;10;22;67;629;-;7716;361;265;9070
210660 MATOES;8;43;88;792;-;9866;345;493;11635
210663 MATOES DO NORTE;2;14;27;205;-;2324;103;42;2717
210667 MILAGRES DO MARANHAO;1;1;12;138;-;1705;125;51;2033
210670 MIRADOR;1;20;46;1341;1;6097;295;146;7947
210675 MIRANDA DO NORTE;2;28;60;404;-;7127;190;83;7894
210680 MIRINZAL;5;23;48;396;-;4425;192;391;5480
210690 MONCAO;9;64;128;1126;-;9398;550;822;12097
210700 MONTES ALTOS;1;8;31;307;-;2917;132;165;3561
210710 MORROS;4;15;45;1776;-;4682;326;833;7681
210720 NINA RODRIGUES;5;14;45;361;-;4532;213;89;5259
210725 NOVA COLINAS;1;3;7;171;1;1629;172;-;1984
210730 NOVA IORQUE;1;1;6;101;-;1088;49;17;1263
210735 NOVA OLINDA DO MARANHAO;2;19;73;829;-;4704;440;361;6428
210740 OLHO D'AGUA DAS CUNHAS;1;15;34;264;-;5673;98;472;6557
210745 OLINDA NOVA DO MARANHAO;4;18;34;622;-;3452;373;144;4647
210750 PACO DO LUMIAR;34;172;332;2743;-;30478;963;952;35674
210760 PALMEIRANDIA;3;19;48;1178;-;4138;304;317;6007
210770 PARAIBANO;3;16;66;386;-;7190;221;90;7972
210780 PARNARAMA;8;41;91;766;-;11465;343;585;13299
210790 PASSAGEM FRANCA;4;10;39;316;-;7244;182;45;7840
210800 PASTOS BONS;1;13;45;374;-;6503;274;87;7297
210805 PAULINO NEVES;3;14;47;523;-;5305;466;336;6694
210810 PAULO RAMOS;5;22;47;457;-;8206;372;165;9274
210820 PEDREIRAS;11;68;109;986;-;14355;398;133;16060
210825 PEDRO DO ROSARIO;14;28;98;829;-;5457;421;1054;7901
210830 PENALVA;11;52;152;1595;-;10127;2507;1042;15486
210840 PERI MIRIM;1;6;37;276;-;2792;144;143;3399
210845 PERITORO;4;25;50;685;-;7998;308;204;9274
210850 PINDARE-MIRIM;2;37;98;957;-;11751;561;279;13685
210860 PINHEIRO;19;134;393;1960;-;30552;1192;525;34775
210870 PIO XII;3;21;33;530;-;9946;252;104;10889
210880 PIRAPEMAS;7;11;60;611;-;6034;353;88;7164
210890 POCAO DE PEDRAS;4;13;50;410;-;6530;122;109;7238
210900 PORTO FRANCO;2;27;55;523;-;9045;249;94;9995
210905 PORTO RICO DO MARANHAO;3;5;15;183;-;1664;92;112;2074
210910 PRESIDENTE DUTRA;10;49;96;953;-;16932;442;137;18619
210920 PRESIDENTE JUSCELINO;2;16;47;377;-;4107;208;145;4902
210923 PRESIDENTE MEDICI;2;14;18;192;-;1785;131;140;2282
210927 PRESIDENTE SARNEY;7;19;80;585;1;6026;386;161;7265
210930 PRESIDENTE VARGAS;3;11;32;329;-;3974;239;86;4674
210940 PRIMEIRA CRUZ;1;8;22;429;-;3564;194;247;4465
210945 RAPOSA;16;60;108;886;-;9649;415;375;11509
210950 RIACHAO;2;13;53;509;-;7735;287;43;8642
210955 RIBAMAR FIQUENE;2;10;28;190;-;2331;93;28;2682
210960 ROSARIO;15;57;157;1615;-;12216;848;538;15446
210970 SAMBAIBA;1;2;7;89;-;1261;88;18;1466
210975 SANTA FILOMENA DO MARANHAO;-;1;17;175;-;1724;53;36;2006
210980 SANTA HELENA;6;33;125;898;-;10237;469;399;12167
210990 SANTA INES;16;95;253;2206;-;35393;977;380;39320
211000 SANTA LUZIA;11;59;143;1060;-;27462;515;972;30222
211003 SANTA LUZIA DO PARUA;4;25;73;653;-;7098;1007;323;9183
211010 SANTA QUITERIA DO MARANHAO;4;23;73;798;-;10007;592;330;11827
211020 SANTA RITA;17;55;97;1172;-;10357;1173;329;13200
211023 SANTANA DO MARANHAO;-;7;12;160;-;2723;153;42;3097
211027 SANTO AMARO DO MARANHAO;7;13;29;490;-;3513;279;108;4439
211030 SANTO ANTONIO DOS LOPES;11;13;33;272;-;3801;665;895;5690
211040 SAO BENEDITO DO RIO PRETO;5;15;39;408;-;8102;293;252;9114
211050 SAO BENTO;2;27;81;1178;-;9449;1832;407;12976
211060 SAO BERNARDO;5;29;79;706;-;10300;602;135;11856
211065 SAO DOMINGOS DO AZEITAO;1;7;17;128;-;2083;91;325;2652
211070 SAO DOMINGOS DO MARANHAO;4;31;66;3253;-;11604;397;310;15665
211080 SAO FELIX DE BALSAS;4;1;10;97;-;1071;20;102;1305
211085 SAO FRANCISCO DO BREJAO;1;11;21;180;-;2606;116;29;2964
211090 SAO FRANCISCO DO MARANHAO;2;15;33;207;-;3141;166;89;3653
211100 SAO JOAO BATISTA;6;36;75;762;-;5423;291;315;6908
211102 SAO JOAO DO CARU;4;6;33;312;-;4141;288;78;4862
211105 SAO JOAO DO PARAISO;2;7;21;206;-;3379;137;44;3796
211107 SAO JOAO DO SOTER;3;27;55;497;-;5054;172;736;6544
211110 SAO JOAO DOS PATOS;6;28;48;511;-;8657;231;194;9675
211120 SAO JOSE DE RIBAMAR;72;271;557;4761;-;52470;1732;1347;61210
211125 SAO JOSE DOS BASILIOS;2;2;14;134;-;2221;91;15;2479
211130 SAO LUIS;507;1988;3929;28786;-;337375;8776;15205;396566
211140 SAO LUIS GONZAGA DO MARANHAO;6;19;70;533;-;6955;252;153;7988
211150 SAO MATEUS DO MARANHAO;5;39;100;1016;-;14728;560;180;16628
211153 SAO PEDRO DA AGUA BRANCA;1;17;37;366;-;3398;129;42;3990
211157 SAO PEDRO DOS CRENTES;1;3;11;120;-;1529;84;18;1766
211160 SAO RAIMUNDO DAS MANGABEIRAS;7;21;54;529;-;6260;389;110;7370
211163 SAO RAIMUNDO DO DOCA BEZERRA;1;4;13;124;-;1923;59;22;2146
211167 SAO ROBERTO;2;3;6;94;-;1796;64;38;2003
211170 SAO VICENTE FERRER;2;18;67;457;-;5946;259;654;7403
211172 SATUBINHA;-;8;11;116;-;2357;48;58;2598
211174 SENADOR ALEXANDRE COSTA;2;10;26;205;-;3672;138;229;4282
211176 SENADOR LA ROCQUE;6;30;66;525;2;6825;266;74;7794
211178 SERRANO DO MARANHAO;3;11;34;342;-;2766;100;446;3702
211180 SITIO NOVO;4;22;47;389;-;5654;302;97;6515
211190 SUCUPIRA DO NORTE;2;4;18;209;-;2193;1450;73;3949
211195 SUCUPIRA DO RIACHAO;3;5;4;114;-;1551;57;46;1780
211200 TASSO FRAGOSO;3;8;16;237;-;2565;135;28;2992
211210 TIMBIRAS;8;43;90;703;-;10816;402;479;12541
211220 TIMON;46;263;508;3626;-;58867;1307;1434;66051
211223 TRIZIDELA DO VALE;4;31;52;429;-;7286;224;65;8091
211227 TUFILANDIA;-;6;17;177;-;2150;60;23;2433
211230 TUNTUM;7;30;57;619;-;13010;284;166;14173
211240 TURIACU;4;33;103;4195;-;7818;532;708;13393
211245 TURILANDIA;5;16;72;589;-;5757;395;502;7336
211250 TUTOIA;12;74;193;1567;-;18536;1413;378;22173
211260 URBANO SANTOS;5;34;105;1071;-;12637;634;316;14802
211270 VARGEM GRANDE;10;71;211;1644;-;18163;1018;232;21349
211280 VIANA;6;80;203;1682;-;17961;1150;1136;22218
211285 VILA NOVA DOS MARTIRIOS;1;20;32;250;1;3076;120;36;3536
211290 VITORIA DO MEARIM;12;32;90;655;-;12427;391;193;13800
211300 VITORINO FREIRE;4;27;70;622;-;11844;328;181;13076
211400 ZE DOCA;9;36;132;1126;-;16528;2488;386;20705
 MUNICIPIO IGNORADO - PI;-;-;-;3;-;23;-;2;28
220005 ACAUA;1;3;12;121;-;2092;34;4;2267
220010 AGRICOLANDIA;4;10;17;108;-;1458;61;47;1705
220020 AGUA BRANCA;2;25;40;421;-;5785;158;121;6552
220025 ALAGOINHA DO PIAUI;2;5;12;127;-;2044;41;10;2241
220027 ALEGRETE DO PIAUI;-;-;6;71;-;1469;31;5;1582
220030 ALTO LONGA;2;7;39;254;-;2981;99;95;3477
220040 ALTOS;7;72;124;1045;-;12915;367;368;14898
220045 ALVORADA DO GURGUEIA;-;4;8;125;-;1779;67;11;1994
220050 AMARANTE;4;22;66;480;-;5682;260;99;6613
220060 ANGICAL DO PIAUI;-;11;14;128;-;1897;74;90;2214
220070 ANISIO DE ABREU;-;6;13;140;-;2971;81;32;3243
220080 ANTONIO ALMEIDA;-;6;6;72;-;925;46;17;1072
220090 AROAZES;1;12;8;75;-;1637;82;23;1838
220095 AROEIRAS DO ITAIM;1;1;1;29;-;414;7;2;455
220100 ARRAIAL;-;3;8;118;-;1472;43;8;1652
220105 ASSUNCAO DO PIAUI;3;9;24;262;-;2810;138;74;3320
220110 AVELINO LOPES;2;11;33;263;-;4150;175;18;4652
220115 BAIXA GRANDE DO RIBEIRO;1;22;28;379;-;4734;131;42;5337
220117 BARRA D'ALCANTARA;-;2;3;66;-;1075;60;16;1222
220120 BARRAS;11;72;112;1144;-;16556;625;336;18856
220130 BARREIRAS DO PIAUI;1;6;6;60;-;899;23;28;1023
220140 BARRO DURO;-;7;14;174;-;1980;53;64;2292
220150 BATALHA;1;35;51;561;-;7924;276;87;8935
220155 BELA VISTA DO PIAUI;-;9;10;83;-;1111;33;3;1249
220157 BELEM DO PIAUI;1;1;7;55;-;756;21;7;848
220160 BENEDITINOS;1;12;21;331;-;2489;71;91;3016
220170 BERTOLINIA;-;3;18;126;-;1718;63;32;1960
220173 BETANIA DO PIAUI;-;4;16;134;-;2523;82;17;2776
220177 BOA HORA;1;8;13;128;-;2064;60;31;2305
220180 BOCAINA;-;5;12;63;-;1084;15;2;1181
220190 BOM JESUS;9;54;66;697;-;9725;196;36;10783
220191 BOM PRINCIPIO DO PIAUI;-;4;17;117;-;2241;124;15;2518
220192 BONFIM DO PIAUI;-;4;3;99;-;1684;44;15;1849
220194 BOQUEIRAO DO PIAUI;-;6;2;94;-;2111;60;24;2297
220196 BRASILEIRA;1;6;6;124;-;2101;64;22;2324
220198 BREJO DO PIAUI;-;3;5;54;-;1222;29;7;1320
220200 BURITI DOS LOPES;1;22;67;508;-;7258;469;59;8384
220202 BURITI DOS MONTES;-;3;18;117;-;1935;72;26;2171
220205 CABECEIRAS DO PIAUI;2;6;16;179;-;2804;83;28;3118
220207 CAJAZEIRAS DO PIAUI;1;3;7;53;-;841;36;9;950
220208 CAJUEIRO DA PRAIA;2;3;13;149;-;2034;144;18;2363
220209 CALDEIRAO GRANDE DO PIAUI;-;5;10;76;-;1560;45;8;1704
220210 CAMPINAS DO PIAUI;1;11;8;73;-;1560;64;12;1729
220211 CAMPO ALEGRE DO FIDALGO;1;6;7;72;-;1481;34;15;1616
220213 CAMPO GRANDE DO PIAUI;-;4;17;97;-;1894;14;4;2030
220217 CAMPO LARGO DO PIAUI;1;14;18;152;-;2304;89;26;2604
220220 CAMPO MAIOR;9;59;80;841;-;14534;321;171;16015
220225 CANAVIEIRA;-;2;7;152;-;955;112;24;1252
220230 CANTO DO BURITI;3;17;43;396;-;6468;157;82;7166
220240 CAPITAO DE CAMPOS;-;7;22;227;-;3510;138;42;3946
220245 CAPITAO GERVASIO OLIVEIRA;-;1;5;63;-;1194;24;7;1294
220250 CARACOL;-;16;17;249;-;3441;86;227;4036
220253 CARAUBAS DO PIAUI;1;1;12;123;-;1776;106;19;2038
220255 CARIDADE DO PIAUI;3;6;13;106;-;1579;56;6;1769
220260 CASTELO DO PIAUI;-;36;38;382;-;6829;237;48;7570
220265 CAXINGO;2;6;12;108;-;1879;122;12;2141
220270 COCAL;6;34;74;650;-;8876;593;94;10327
220271 COCAL DE TELHA;-;2;7;64;-;1569;36;19;1697
220272 COCAL DOS ALVES;3;2;19;115;-;1624;97;14;1874
220273 COIVARAS;3;6;8;77;-;1036;32;23;1185
220275 COLONIA DO GURGUEIA;3;6;16;157;-;1901;77;27;2187
220277 COLONIA DO PIAUI;2;4;13;133;-;1994;78;39;2263
220280 CONCEICAO DO CANINDE;1;3;6;105;-;1428;141;18;1702
220285 CORONEL JOSE DIAS;-;7;7;81;-;1220;28;9;1352
220290 CORRENTE;4;34;71;683;-;9106;466;172;10536
220300 CRISTALANDIA DO PIAUI;-;10;21;166;-;2567;163;33;2960
220310 CRISTINO CASTRO;1;11;25;266;-;3839;85;6;4233
220320 CURIMATA;5;22;33;285;-;4415;138;15;4913
220323 CURRAIS;-;6;12;139;-;1875;54;7;2093
220325 CURRALINHOS;-;7;11;112;-;1102;29;46;1307
220327 CURRAL NOVO DO PIAUI;-;2;11;135;-;1573;70;9;1800
220330 DEMERVAL LOBAO;2;15;50;381;-;4358;123;162;5091
220335 DIRCEU ARCOVERDE;1;9;14;125;-;1877;40;78;2144
220340 DOM EXPEDITO LOPES;-;5;8;78;-;1854;17;3;1965
220342 DOMINGOS MOURAO;2;5;6;66;-;1355;120;6;1560
220345 DOM INOCENCIO;-;7;21;130;-;2047;82;79;2366
220350 ELESBAO VELOSO;4;19;37;295;-;3920;120;84;4479
220360 ELISEU MARTINS;-;5;4;91;-;1240;54;12;1406
220370 ESPERANTINA;8;63;116;1071;-;13949;423;89;15719
220375 FARTURA DO PIAUI;-;5;8;231;-;1360;85;44;1733
220380 FLORES DO PIAUI;-;5;8;85;-;1381;90;7;1576
220385 FLORESTA DO PIAUI;-;1;4;28;-;577;18;10;638
220390 FLORIANO;18;35;174;1419;-;19882;534;227;22289
220400 FRANCINOPOLIS;1;4;18;90;-;1341;159;37;1650
220410 FRANCISCO AYRES;-;4;10;83;-;1357;52;12;1518
220415 FRANCISCO MACEDO;-;2;5;50;-;741;20;5;823
220420 FRANCISCO SANTOS;1;5;14;114;-;2341;26;10;2511
220430 FRONTEIRAS;2;11;11;224;-;2714;659;11;3632
220435 GEMINIANO;-;5;12;84;-;1803;31;7;1942
220440 GILBUES;2;10;30;282;-;3942;156;51;4473
220450 GUADALUPE;2;16;28;232;-;3551;142;47;4018
220455 GUARIBAS;2;4;12;108;-;1648;34;60;1868
220460 HUGO NAPOLEAO;1;2;4;78;-;1019;32;24;1160
220465 ILHA GRANDE;2;8;26;218;-;3176;244;21;3695
220470 INHUMA;1;12;37;236;-;4402;198;38;4924
220480 IPIRANGA DO PIAUI;1;11;23;249;-;2766;88;13;3151
220490 ISAIAS COELHO;2;5;21;152;-;2744;91;20;3035
220500 ITAINOPOLIS;2;6;14;177;-;2796;89;15;3099
220510 ITAUEIRA;2;11;28;202;-;3233;64;20;3560
220515 JACOBINA DO PIAUI;2;4;15;100;-;1693;35;10;1859
220520 JAICOS;1;19;41;309;-;6425;193;191;7179
220525 JARDIM DO MULATO;-;5;6;94;-;984;37;36;1162
220527 JATOBA DO PIAUI;-;5;7;55;-;1452;31;19;1569
220530 JERUMENHA;-;5;16;112;-;1357;37;20;1547
220535 JOAO COSTA;-;2;4;51;-;842;23;11;933
220540 JOAQUIM PIRES;1;11;45;600;-;4426;235;55;5373
220545 JOCA MARQUES;-;3;12;139;-;1784;61;22;2021
220550 JOSE DE FREITAS;6;55;109;1003;-;11924;306;358;13761
220551 JUAZEIRO DO PIAUI;2;4;13;103;-;1511;62;18;1713
220552 JULIO BORGES;1;15;14;111;-;1704;69;3;1917
220553 JUREMA;1;3;3;101;-;1678;46;23;1855
220554 LAGOINHA DO PIAUI;-;5;6;73;-;748;25;20;877
220555 LAGOA ALEGRE;1;10;23;220;-;2321;76;77;2728
220556 LAGOA DO BARRO DO PIAUI;-;3;12;86;-;1411;62;92;1666
220557 LAGOA DE SAO FRANCISCO;1;6;5;119;-;1772;50;25;1978
220558 LAGOA DO PIAUI;-;3;8;98;-;1031;33;37;1210
220559 LAGOA DO SITIO;-;3;11;70;-;1380;66;10;1540
220560 LANDRI SALES;-;9;13;135;-;1643;75;7;1882
220570 LUIS CORREIA;1;43;90;675;-;9666;648;86;11209
220580 LUZILANDIA;4;25;64;602;-;8777;265;150;9887
220585 MADEIRO;3;17;30;185;-;2878;102;36;3251
220590 MANOEL EMIDIO;1;2;13;99;-;1628;91;23;1857
220595 MARCOLANDIA;1;16;20;180;-;2820;82;32;3151
220600 MARCOS PARENTE;-;6;17;89;-;1300;230;6;1648
220605 MASSAPE DO PIAUI;-;4;9;80;-;1651;42;46;1832
220610 MATIAS OLIMPIO;3;16;15;225;-;3949;109;37;4354
220620 MIGUEL ALVES;10;61;156;904;-;10675;579;636;13021
220630 MIGUEL LEAO;-;3;3;29;-;326;17;17;395
220635 MILTON BRANDAO;2;7;21;85;-;1742;51;21;1929
220640 MONSENHOR GIL;1;14;22;233;-;2607;73;92;3042
220650 MONSENHOR HIPOLITO;1;7;21;187;-;2320;47;9;2592
220660 MONTE ALEGRE DO PIAUI;3;22;27;271;-;3432;219;44;4018
220665 MORRO CABECA NO TEMPO;3;6;12;130;-;1300;70;7;1528
220667 MORRO DO CHAPEU DO PIAUI;1;11;21;163;-;2122;75;17;2410
220669 MURICI DOS PORTELAS;-;5;15;188;-;2437;163;10;2818
220670 NAZARE DO PIAUI;-;5;5;139;-;1870;351;35;2405
220672 NAZARIA;1;9;12;177;-;1665;61;86;2011
220675 NOSSA SENHORA DE NAZARE;-;7;4;50;-;1251;28;17;1357
220680 NOSSA SENHORA DOS REMEDIOS;2;8;32;247;-;3361;122;50;3822
220690 NOVO ORIENTE DO PIAUI;-;6;10;87;-;1675;91;14;1883
220695 NOVO SANTO ANTONIO;-;6;9;65;-;613;28;21;742
220700 OEIRAS;11;56;93;672;-;11673;391;77;12973
